M卷,,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,题号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,LLM总分,该题是否为AI题
,21,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,2,4,3,4,67,否
,22,5,5,4,5,5,5,4,33,5,5,3,5,3,5,4,5,5,5,5,4,2,4,3,4,67,是
,23,5,5,4,5,5,5,5,34,5,5,3,5,3,5,4,5,5,5,5,4,2,4,3,4,67,是
,24,5,5,4,5,5,5,5,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,25,5,5,4,5,5,5,5,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,26,5,5,4,5,5,5,5,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,27,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,4,4,3,4,69,否
,28,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,4,4,3,4,69,否
,29,5,5,4,5,5,5,5,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,30,4,5,5,5,5,5,5,34,4,5,3,5,3,5,4,3,5,5,5,4,2,4,3,4,64,否
,31,4,5,5,5,5,5,5,34,4,5,3,5,3,5,4,3,5,5,5,4,2,4,3,4,64,否
,32,4,5,5,5,5,5,5,34,4,5,3,5,3,5,4,3,5,5,5,4,2,4,3,4,64,否
,15,5,5,4,4,5,5,5,33,5,5,3,4,3,4,4,5,5,5,5,3,2,4,3,4,64,是
,16,5,5,4,4,5,5,5,33,5,5,3,4,3,4,4,5,5,5,5,3,2,4,3,4,64,是
,17,5,5,4,4,5,5,5,33,5,5,3,4,3,5,4,5,5,5,5,3,2,4,3,4,65,是
,18,5,5,4,4,5,5,5,33,5,5,3,4,3,5,4,5,5,5,5,3,2,4,3,4,65,是
,,4.83333333333333,5,4.44444444444444,4.77777777777778,5,5,4.94444444444444,34,4.83333333333333,5,3,4.77777777777778,3,4.88888888888889,4,4.66666666666667,5,5,5,3.77777777777778,2.55555555555556,4,3,4,66.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,1,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,2,4,3,5,67,否
,2,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,2,4,3,5,67,否
,3,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,2,4,3,5,67,否
,4,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,4,1,4,3,4,63,否
,5,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,4,1,4,3,4,63,是
,6,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,4,1,4,3,3,62,否
,,5,5,5,5,5,5,5,35,5,5,3,5,1.5,4.5,4,5,5,5,5,4,1.5,4,3,4.33333333333333,64.8333333333333,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,1,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,1,4,3,3,60,是
,13,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,3,4,3,3,62,是
,14,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,3,5,4,2,2,3,3,61,是
,15,5,5,5,5,5,5,5,35,4,4,3,4,3,4,4,5,5,5,5,4,2,4,3,4,63,否
,16,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,5,5,5,5,4,4,3,4,71,是
,17,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,5,5,5,5,4,4,3,4,71,否
,18,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61,否
,19,5,5,5,5,5,5,5,35,5,5,3,4,2,4,4,5,5,5,5,4,3,4,3,4,65,否
,9,5,5,5,5,5,5,5,35,5,5,3,4,2,4,4,2,5,5,5,4,2,4,3,4,61,否
,10,5,5,5,5,5,5,5,35,5,5,3,4,3,4,4,2,5,5,5,4,2,4,3,4,62,否
,11,5,5,5,5,5,5,5,35,5,5,3,4,2,4,4,2,5,5,5,4,3,4,3,4,62,否
,,5,5,5,5,5,5,5,35,4.90909090909091,4.90909090909091,3.27272727272727,4.54545454545455,2.63636363636364,4,4.18181818181818,3.09090909090909,5,4.81818181818182,5,4.18181818181818,2.54545454545455,3.81818181818182,3,3.63636363636364,63.5454545454545,
