student_id,cognitive_level,source_true,correct_rate
S028,recall,MAS,0.8571428571428571
S029,recall,Human,1.0
S029,recall,MAS,1.0
S030,recall,Human,0.8571428571428571
S030,recall,MAS,1.0
S031,recall,Human,0.8571428571428571
S031,recall,MAS,0.8571428571428571
S032,recall,Human,0.5714285714285714
S032,recall,MAS,0.5714285714285714
S033,recall,Human,0.8571428571428571
S033,recall,MAS,0.42857142857142855
S034,recall,Human,1.0
S034,recall,MAS,0.8571428571428571
S035,recall,Human,1.0
S035,recall,MAS,0.8571428571428571
S036,recall,Human,0.8571428571428571
S036,recall,MAS,0.8571428571428571
S037,recall,Human,1.0
S037,recall,MAS,1.0
S038,recall,Human,0.42857142857142855
S038,recall,MAS,0.5714285714285714
S039,recall,Human,0.42857142857142855
S039,recall,MAS,0.42857142857142855
S040,recall,Human,0.5714285714285714
S040,recall,MAS,0.2857142857142857
S041,recall,Human,0.7142857142857143
S041,recall,MAS,0.5714285714285714
S042,recall,Human,0.5714285714285714
S042,recall,MAS,0.5714285714285714
S043,recall,Human,0.2857142857142857
S043,recall,MAS,0.7142857142857143
S044,recall,Human,0.42857142857142855
S044,recall,MAS,1.0
S045,recall,Human,0.7142857142857143
S045,recall,MAS,0.7142857142857143
S046,recall,Human,0.8571428571428571
S046,recall,MAS,0.7142857142857143
S047,recall,Human,1.0
S047,recall,MAS,0.7142857142857143
S048,recall,Human,0.8571428571428571
S048,recall,MAS,0.8571428571428571
S049,recall,Human,0.7142857142857143
S049,recall,MAS,0.8571428571428571
S050,recall,Human,0.42857142857142855
S050,recall,MAS,0.5714285714285714
S001,comprehension,Human,1.0
S001,comprehension,MAS,1.0
S002,comprehension,Human,1.0
S002,comprehension,MAS,0.0
S003,comprehension,Human,1.0
S003,comprehension,MAS,0.0
S004,comprehension,Human,0.3333333333333333
S004,comprehension,MAS,0.6666666666666666
S005,comprehension,Human,1.0
S005,comprehension,MAS,0.3333333333333333
S006,comprehension,Human,0.6666666666666666
S006,comprehension,MAS,0.6666666666666666
S007,comprehension,Human,0.3333333333333333
S007,comprehension,MAS,0.6666666666666666
S008,comprehension,Human,1.0
S008,comprehension,MAS,0.3333333333333333
S009,comprehension,Human,1.0
S009,comprehension,MAS,0.6666666666666666
S010,comprehension,Human,0.6666666666666666
S010,comprehension,MAS,0.6666666666666666
S011,comprehension,Human,0.6666666666666666
S011,comprehension,MAS,0.3333333333333333
S012,comprehension,Human,0.3333333333333333
S012,comprehension,MAS,0.6666666666666666
S013,comprehension,Human,1.0
S013,comprehension,MAS,0.6666666666666666
S014,comprehension,Human,0.6666666666666666
S014,comprehension,MAS,0.3333333333333333
S015,comprehension,Human,1.0
S015,comprehension,MAS,0.6666666666666666
S016,comprehension,Human,1.0
S016,comprehension,MAS,0.0
S017,comprehension,Human,0.3333333333333333
S017,comprehension,MAS,0.3333333333333333
S018,comprehension,Human,0.6666666666666666
S018,comprehension,MAS,1.0
S019,comprehension,Human,1.0
S019,comprehension,MAS,0.3333333333333333
S020,comprehension,Human,1.0
S020,comprehension,MAS,1.0
S021,comprehension,Human,0.6666666666666666
S021,comprehension,MAS,0.6666666666666666
S022,comprehension,Human,0.3333333333333333
S022,comprehension,MAS,0.3333333333333333
S023,comprehension,Human,0.6666666666666666
S023,comprehension,MAS,0.6666666666666666
S024,comprehension,Human,0.6666666666666666
S024,comprehension,MAS,1.0
S025,comprehension,Human,0.6666666666666666
S025,comprehension,MAS,1.0
S026,comprehension,Human,1.0
S026,comprehension,MAS,0.6666666666666666
S027,comprehension,Human,0.3333333333333333
S027,comprehension,MAS,0.6666666666666666
S028,comprehension,Human,0.6666666666666666
S028,comprehension,MAS,1.0
S029,comprehension,Human,1.0
S029,comprehension,MAS,1.0
S030,comprehension,Human,0.6666666666666666
S030,comprehension,MAS,1.0
S031,comprehension,Human,0.0
S031,comprehension,MAS,0.3333333333333333
S032,comprehension,Human,0.0
S032,comprehension,MAS,0.6666666666666666
S033,comprehension,Human,0.3333333333333333
S033,comprehension,MAS,0.6666666666666666
S034,comprehension,Human,1.0
S034,comprehension,MAS,0.6666666666666666
S035,comprehension,Human,1.0
S035,comprehension,MAS,0.6666666666666666
S036,comprehension,Human,0.6666666666666666
S036,comprehension,MAS,0.3333333333333333
S037,comprehension,Human,1.0
S037,comprehension,MAS,0.6666666666666666
S038,comprehension,Human,0.6666666666666666
S038,comprehension,MAS,1.0
S039,comprehension,Human,0.3333333333333333
S039,comprehension,MAS,0.3333333333333333
S040,comprehension,Human,1.0
S040,comprehension,MAS,0.6666666666666666
S041,comprehension,Human,1.0
S041,comprehension,MAS,0.0
S042,comprehension,Human,0.3333333333333333
S042,comprehension,MAS,0.6666666666666666
S043,comprehension,Human,0.0
S043,comprehension,MAS,0.3333333333333333
S044,comprehension,Human,1.0
S044,comprehension,MAS,0.6666666666666666
S045,comprehension,Human,0.3333333333333333
S045,comprehension,MAS,0.6666666666666666
S046,comprehension,Human,0.3333333333333333
S046,comprehension,MAS,0.6666666666666666
S047,comprehension,Human,1.0
S047,comprehension,MAS,0.3333333333333333
S048,comprehension,Human,1.0
S048,comprehension,MAS,0.6666666666666666
S049,comprehension,Human,0.3333333333333333
S049,comprehension,MAS,0.0
S050,comprehension,Human,0.6666666666666666
S050,comprehension,MAS,0.6666666666666666
S001,application,Human,0.7222222222222222
S001,application,MAS,0.7777777777777778
S002,application,Human,0.5555555555555556
S002,application,MAS,0.5
S003,application,Human,0.5
S003,application,MAS,0.3333333333333333
S004,application,Human,0.4444444444444444
S004,application,MAS,0.5555555555555556
S005,application,Human,0.6111111111111112
S005,application,MAS,0.6111111111111112
S006,application,Human,0.5555555555555556
S006,application,MAS,0.5555555555555556
S007,application,Human,0.7777777777777778
S007,application,MAS,0.5
S008,application,Human,0.7222222222222222
S008,application,MAS,0.6666666666666666
S009,application,Human,0.7222222222222222
S009,application,MAS,0.5555555555555556
S010,application,Human,0.7222222222222222
S010,application,MAS,0.7777777777777778
S011,application,Human,0.6111111111111112
S011,application,MAS,0.5
S012,application,Human,0.7222222222222222
S012,application,MAS,0.7222222222222222
S013,application,Human,0.7777777777777778
S013,application,MAS,0.6666666666666666
S014,application,Human,0.7777777777777778
S014,application,MAS,0.8333333333333334
S015,application,Human,0.5
S015,application,MAS,0.5555555555555556
S016,application,Human,0.5
S016,application,MAS,0.4444444444444444
S017,application,Human,0.6111111111111112
S017,application,MAS,0.4444444444444444
S018,application,Human,0.6666666666666666
S018,application,MAS,0.5
S019,application,Human,0.5555555555555556
S019,application,MAS,0.6111111111111112
S020,application,Human,0.7777777777777778
S020,application,MAS,0.6666666666666666
S021,application,Human,0.6666666666666666
S021,application,MAS,0.5555555555555556
S022,application,Human,0.5555555555555556
S022,application,MAS,0.6111111111111112
S023,application,Human,0.8333333333333334
S023,application,MAS,0.9444444444444444
S024,application,Human,0.8888888888888888
S024,application,MAS,0.9444444444444444
S025,application,Human,0.8333333333333334
S025,application,MAS,0.8888888888888888
S026,application,Human,0.7222222222222222
S026,application,MAS,0.6666666666666666
S027,application,Human,0.7777777777777778
S027,application,MAS,0.7222222222222222
S028,application,Human,0.7777777777777778
S028,application,MAS,0.8888888888888888
S029,application,Human,0.8888888888888888
S029,application,MAS,0.9444444444444444
S030,application,Human,0.6666666666666666
S030,application,MAS,0.6666666666666666
S031,application,Human,0.2222222222222222
S031,application,MAS,0.6111111111111112
S032,application,Human,0.3333333333333333
S032,application,MAS,0.4444444444444444
S033,application,Human,0.7777777777777778
S033,application,MAS,0.8333333333333334
S034,application,Human,0.8888888888888888
S034,application,MAS,0.8888888888888888
S035,application,Human,0.7777777777777778
S035,application,MAS,0.8888888888888888
S036,application,Human,0.8333333333333334
S036,application,MAS,0.8333333333333334
S037,application,Human,0.7777777777777778
S037,application,MAS,1.0
S038,application,Human,0.5555555555555556
S038,application,MAS,0.6111111111111112
S039,application,Human,0.6111111111111112
S039,application,MAS,0.5
S040,application,Human,0.7222222222222222
S040,application,MAS,0.6111111111111112
S041,application,Human,0.6666666666666666
S041,application,MAS,0.6666666666666666
S042,application,Human,0.6666666666666666
S042,application,MAS,0.5
S043,application,Human,0.2777777777777778
S043,application,MAS,0.7222222222222222
S044,application,Human,0.7222222222222222
S044,application,MAS,0.7777777777777778
S045,application,Human,0.6666666666666666
S045,application,MAS,0.5555555555555556
S046,application,Human,0.6666666666666666
S046,application,MAS,0.5
S047,application,Human,0.8888888888888888
S047,application,MAS,0.7777777777777778
S048,application,Human,0.7777777777777778
S048,application,MAS,0.6666666666666666
S049,application,Human,0.5555555555555556
S049,application,MAS,0.6111111111111112
S050,application,Human,0.6111111111111112
S050,application,MAS,0.7777777777777778
S001,analysis,Human,0.5909090909090909
S001,analysis,MAS,0.5
S002,analysis,Human,0.45454545454545453
S002,analysis,MAS,0.5454545454545454
S003,analysis,Human,0.4090909090909091
S003,analysis,MAS,0.4090909090909091
S004,analysis,Human,0.45454545454545453
S004,analysis,MAS,0.3181818181818182
S005,analysis,Human,0.6363636363636364
S005,analysis,MAS,0.5454545454545454
S006,analysis,Human,0.45454545454545453
S006,analysis,MAS,0.5909090909090909
S007,analysis,Human,0.5
S007,analysis,MAS,0.5
S008,analysis,Human,0.6363636363636364
S008,analysis,MAS,0.6363636363636364
S009,analysis,Human,0.6818181818181818
S009,analysis,MAS,0.45454545454545453
S010,analysis,Human,0.5454545454545454
S010,analysis,MAS,0.6363636363636364
S011,analysis,Human,0.4090909090909091
S011,analysis,MAS,0.45454545454545453
S012,analysis,Human,0.6363636363636364
S012,analysis,MAS,0.5909090909090909
S013,analysis,Human,0.5454545454545454
S013,analysis,MAS,0.4090909090909091
S014,analysis,Human,0.6818181818181818
S014,analysis,MAS,0.6363636363636364
S015,analysis,Human,0.45454545454545453
S015,analysis,MAS,0.5454545454545454
S016,analysis,Human,0.6363636363636364
S016,analysis,MAS,0.5454545454545454
S017,analysis,Human,0.4090909090909091
S017,analysis,MAS,0.18181818181818182
S018,analysis,Human,0.4090909090909091
S018,analysis,MAS,0.45454545454545453
S019,analysis,Human,0.5
S019,analysis,MAS,0.5
S020,analysis,Human,0.5909090909090909
S020,analysis,MAS,0.5909090909090909
S021,analysis,Human,0.4090909090909091
S021,analysis,MAS,0.5454545454545454
S022,analysis,Human,0.18181818181818182
S022,analysis,MAS,0.22727272727272727
S023,analysis,Human,0.5909090909090909
S023,analysis,MAS,0.8636363636363636
S024,analysis,Human,0.45454545454545453
S024,analysis,MAS,0.8181818181818182
S025,analysis,Human,0.5
S025,analysis,MAS,0.7727272727272727
S026,analysis,Human,0.6363636363636364
S026,analysis,MAS,0.5454545454545454
S027,analysis,Human,0.45454545454545453
S027,analysis,MAS,0.5
S028,analysis,Human,0.8181818181818182
S028,analysis,MAS,0.6818181818181818
S029,analysis,Human,0.6363636363636364
S029,analysis,MAS,0.7272727272727273
S030,analysis,Human,0.45454545454545453
S030,analysis,MAS,0.5454545454545454
S031,analysis,Human,0.2727272727272727
S031,analysis,MAS,0.45454545454545453
S032,analysis,Human,0.22727272727272727
S032,analysis,MAS,0.4090909090909091
S033,analysis,Human,0.6818181818181818
S033,analysis,MAS,0.5909090909090909
S034,analysis,Human,0.6818181818181818
S034,analysis,MAS,0.6818181818181818
S035,analysis,Human,0.6818181818181818
S035,analysis,MAS,0.7727272727272727
S036,analysis,Human,0.6818181818181818
S036,analysis,MAS,0.7272727272727273
S037,analysis,Human,0.6818181818181818
S037,analysis,MAS,0.5909090909090909
S038,analysis,Human,0.5909090909090909
S038,analysis,MAS,0.36363636363636365
S039,analysis,Human,0.4090909090909091
S039,analysis,MAS,0.5
S040,analysis,Human,0.4090909090909091
S040,analysis,MAS,0.6363636363636364
S041,analysis,Human,0.5909090909090909
S041,analysis,MAS,0.3181818181818182
S042,analysis,Human,0.5454545454545454
S042,analysis,MAS,0.45454545454545453
S043,analysis,Human,0.18181818181818182
S043,analysis,MAS,0.18181818181818182
S044,analysis,Human,0.5909090909090909
S044,analysis,MAS,0.36363636363636365
S045,analysis,Human,0.45454545454545453
S045,analysis,MAS,0.45454545454545453
S046,analysis,Human,0.5
S046,analysis,MAS,0.4090909090909091
S047,analysis,Human,0.6818181818181818
S047,analysis,MAS,0.5909090909090909
S048,analysis,Human,0.8181818181818182
S048,analysis,MAS,0.6363636363636364
S049,analysis,Human,0.5
S049,analysis,MAS,0.36363636363636365
S050,analysis,Human,0.5
S050,analysis,MAS,0.36363636363636365
