source,cognitive_level,item_seq,metric,score
Human,应用,37,QGval,4.9523809523809526
Human,应用,37,ULM,4.354166666666667
Human,应用,38,QGval,5.0
Human,应用,38,ULM,4.041666666666667
Human,应用,39,QGval,4.9523809523809526
Human,应用,39,ULM,4.291666666666667
Human,应用,40,QGval,5.0
Human,应用,40,ULM,3.9791666666666665
Human,应用,41,QGval,4.904761904761904
Human,应用,41,ULM,3.9791666666666665
Human,应用,42,QGval,5.0
Human,应用,42,ULM,4.208333333333333
Human,应用,43,QGval,4.904761904761904
Human,应用,43,ULM,4.104166666666667
Human,应用,44,QGval,4.904761904761904
Human,应用,44,ULM,4.3125
Human,应用,45,QGval,5.0
Human,应用,45,ULM,4.083333333333333
Human,应用,46,QGval,4.904761904761905
Human,应用,46,ULM,4.0625
Human,应用,47,QGval,4.9523809523809526
Human,应用,47,ULM,4.1875
Human,应用,48,QGval,4.857142857142857
Human,应用,48,ULM,4.083333333333333
Human,应用,49,QGval,5.0
Human,应用,49,ULM,4.1875
Human,应用,50,QGval,4.857142857142857
Human,应用,50,ULM,4.145833333333333
Human,应用,51,QGval,5.0
Human,应用,51,ULM,4.145833333333333
Human,应用,52,QGval,5.0
Human,应用,52,ULM,4.125
Human,理解,11,QGval,4.904761904761904
Human,理解,11,ULM,4.166666666666667
Human,理解,12,QGval,5.0
Human,理解,12,ULM,4.208333333333333
Human,理解,13,QGval,5.0
Human,理解,13,ULM,4.229166666666667
Human,理解,14,QGval,4.9523809523809526
Human,理解,14,ULM,4.020833333333333
Human,理解,15,QGval,5.0
Human,理解,15,ULM,4.020833333333333
Human,理解,16,QGval,5.0
Human,理解,16,ULM,4.020833333333333
Human,理解,17,QGval,5.0
Human,理解,17,ULM,4.1875
Human,理解,18,QGval,5.0
Human,理解,18,ULM,4.229166666666667
Human,理解,19,QGval,5.0
Human,理解,19,ULM,4.25
Human,理解,20,QGval,5.0
Human,理解,20,ULM,4.166666666666667
Human,理解,21,QGval,4.9523809523809526
Human,理解,21,ULM,3.875
Human,理解,22,QGval,5.0
Human,理解,22,ULM,4.041666666666667
Human,理解,23,QGval,4.9523809523809526
Human,理解,23,ULM,3.8958333333333335
Human,理解,24,QGval,5.0
Human,理解,24,ULM,4.104166666666667
Human,理解,25,QGval,4.904761904761904
Human,理解,25,ULM,4.041666666666667
Human,理解,26,QGval,4.904761904761904
Human,理解,26,ULM,4.020833333333333
Human,理解,27,QGval,4.9523809523809526
Human,理解,27,ULM,4.125
Human,记忆,1,QGval,4.857142857142857
Human,记忆,1,ULM,4.0
Human,记忆,2,QGval,4.857142857142857
Human,记忆,2,ULM,3.6875
Human,记忆,3,QGval,4.904761904761904
Human,记忆,3,ULM,3.8958333333333335
Human,记忆,4,QGval,4.904761904761904
Human,记忆,4,ULM,3.9166666666666665
Human,记忆,5,QGval,4.904761904761904
Human,记忆,5,ULM,3.9375
Human,记忆,6,QGval,4.666666666666667
Human,记忆,6,ULM,3.6458333333333335
Human,记忆,7,QGval,4.9523809523809526
Human,记忆,7,ULM,3.8541666666666665
Human,记忆,8,QGval,5.0
Human,记忆,8,ULM,4.020833333333333
Human,记忆,9,QGval,4.9523809523809526
Human,记忆,9,ULM,3.8958333333333335
Human,记忆,10,QGval,4.9523809523809526
Human,记忆,10,ULM,3.9375
MAS,分析,53,QGval,5.0
MAS,分析,53,ULM,4.3125
MAS,分析,54,QGval,5.0
MAS,分析,54,ULM,4.3125
MAS,分析,55,QGval,5.0
MAS,分析,55,ULM,4.125
MAS,分析,56,QGval,4.809523809523809
MAS,分析,56,ULM,4.229166666666667
MAS,分析,57,QGval,4.904761904761904
MAS,分析,57,ULM,4.270833333333333
MAS,分析,58,QGval,4.857142857142857
MAS,分析,58,ULM,4.333333333333333
MAS,分析,59,QGval,4.904761904761904
MAS,分析,59,ULM,4.333333333333333
MAS,分析,60,QGval,4.904761904761904
MAS,分析,60,ULM,4.291666666666667
MAS,分析,61,QGval,5.0
MAS,分析,61,ULM,4.354166666666667
MAS,分析,62,QGval,5.0
MAS,分析,62,ULM,4.354166666666667
MAS,分析,63,QGval,4.904761904761904
MAS,分析,63,ULM,4.333333333333333
MAS,分析,64,QGval,4.904761904761904
MAS,分析,64,ULM,4.125
MAS,分析,65,QGval,4.904761904761904
MAS,分析,65,ULM,4.125
MAS,分析,66,QGval,4.904761904761904
MAS,分析,66,ULM,4.125
MAS,分析,67,QGval,4.904761904761905
MAS,分析,67,ULM,4.083333333333333
MAS,分析,68,QGval,4.904761904761905
MAS,分析,68,ULM,4.083333333333333
MAS,分析,69,QGval,4.904761904761905
MAS,分析,69,ULM,4.125
MAS,分析,70,QGval,4.904761904761905
MAS,分析,70,ULM,4.125
MAS,应用,28,QGval,5.0
MAS,应用,28,ULM,4.270833333333333
MAS,应用,29,QGval,4.904761904761905
MAS,应用,29,ULM,4.291666666666667
MAS,应用,30,QGval,5.0
MAS,应用,30,ULM,4.416666666666667
MAS,应用,31,QGval,5.0
MAS,应用,31,ULM,4.354166666666667
MAS,应用,32,QGval,5.0
MAS,应用,32,ULM,4.395833333333333
MAS,应用,33,QGval,4.857142857142857
MAS,应用,33,ULM,4.3125
MAS,应用,34,QGval,5.0
MAS,应用,34,ULM,4.375
MAS,应用,35,QGval,4.9523809523809526
MAS,应用,35,ULM,4.25
MAS,应用,36,QGval,5.0
MAS,应用,36,ULM,4.333333333333333
MAS,应用,37,QGval,4.809523809523809
MAS,应用,37,ULM,4.291666666666667
MAS,应用,38,QGval,4.9523809523809526
MAS,应用,38,ULM,4.083333333333333
MAS,应用,39,QGval,4.9523809523809526
MAS,应用,39,ULM,4.104166666666667
MAS,应用,40,QGval,5.0
MAS,应用,40,ULM,4.291666666666667
MAS,应用,41,QGval,5.0
MAS,应用,41,ULM,4.0
MAS,应用,42,QGval,5.0
MAS,应用,42,ULM,4.041666666666667
MAS,应用,43,QGval,5.0
MAS,应用,43,ULM,4.125
MAS,应用,44,QGval,5.0
MAS,应用,44,ULM,4.375
MAS,应用,45,QGval,5.0
MAS,应用,45,ULM,4.125
MAS,应用,46,QGval,5.0
MAS,应用,46,ULM,4.041666666666667
MAS,应用,47,QGval,4.9523809523809526
MAS,应用,47,ULM,3.8958333333333335
MAS,应用,48,QGval,5.0
MAS,应用,48,ULM,4.083333333333333
MAS,应用,49,QGval,4.571428571428572
MAS,应用,49,ULM,4.104166666666667
MAS,应用,50,QGval,4.904761904761905
MAS,应用,50,ULM,4.208333333333333
MAS,应用,51,QGval,5.0
MAS,应用,51,ULM,4.104166666666667
MAS,应用,52,QGval,4.904761904761905
MAS,应用,52,ULM,4.166666666666667
MAS,理解,11,QGval,4.9523809523809526
MAS,理解,11,ULM,4.270833333333333
MAS,理解,12,QGval,5.0
MAS,理解,12,ULM,4.270833333333333
MAS,理解,13,QGval,5.0
MAS,理解,13,ULM,4.166666666666667
MAS,理解,14,QGval,5.0
MAS,理解,14,ULM,4.208333333333333
MAS,理解,15,QGval,5.0
MAS,理解,15,ULM,4.208333333333333
MAS,理解,16,QGval,5.0
MAS,理解,16,ULM,4.1875
MAS,理解,17,QGval,4.9523809523809526
MAS,理解,17,ULM,3.9583333333333335
MAS,理解,18,QGval,5.0
MAS,理解,18,ULM,4.0625
MAS,理解,19,QGval,5.0
MAS,理解,19,ULM,4.020833333333333
MAS,理解,20,QGval,5.0
MAS,理解,20,ULM,4.104166666666667
MAS,理解,21,QGval,5.0
MAS,理解,21,ULM,4.395833333333333
MAS,理解,22,QGval,5.0
MAS,理解,22,ULM,4.395833333333333
MAS,理解,23,QGval,4.9523809523809526
MAS,理解,23,ULM,3.9791666666666665
MAS,理解,24,QGval,4.9523809523809526
MAS,理解,24,ULM,4.145833333333333
MAS,理解,25,QGval,5.0
MAS,理解,25,ULM,4.0
MAS,理解,26,QGval,5.0
MAS,理解,26,ULM,4.020833333333333
MAS,理解,27,QGval,5.0
MAS,理解,27,ULM,4.0625
MAS,记忆,1,QGval,5.0
MAS,记忆,1,ULM,4.0625
MAS,记忆,2,QGval,5.0
MAS,记忆,2,ULM,3.8333333333333335
MAS,记忆,3,QGval,5.0
MAS,记忆,3,ULM,4.125
MAS,记忆,4,QGval,5.0
MAS,记忆,4,ULM,4.020833333333333
MAS,记忆,5,QGval,5.0
MAS,记忆,5,ULM,3.8958333333333335
MAS,记忆,6,QGval,5.0
MAS,记忆,6,ULM,4.041666666666667
MAS,记忆,7,QGval,4.9523809523809526
MAS,记忆,7,ULM,4.020833333333333
MAS,记忆,8,QGval,4.9523809523809526
MAS,记忆,8,ULM,3.9166666666666665
MAS,记忆,9,QGval,4.9523809523809526
MAS,记忆,9,ULM,3.9375
MAS,记忆,10,QGval,4.9523809523809526
MAS,记忆,10,ULM,3.9375
