family,dimension,source,item_seq,expert_mean_score
QGval,Relevance,Human,13,5.0
QGval,Relevance,Human,14,5.0
QGval,Relevance,Human,15,5.0
QGval,Relevance,Human,16,5.0
QGval,Relevance,Human,17,5.0
QGval,Relevance,Human,18,5.0
QGval,Relevance,Human,19,5.0
QGval,Relevance,Human,20,5.0
QGval,Relevance,Human,21,5.0
QGval,Relevance,Human,22,5.0
QGval,Relevance,Human,23,5.0
QGval,Relevance,Human,24,5.0
QGval,Relevance,Human,25,5.0
QGval,Relevance,Human,26,5.0
QGval,Relevance,Human,27,5.0
QGval,Relevance,Human,28,5.0
QGval,Relevance,Human,29,5.0
QGval,Relevance,Human,30,5.0
QGval,Relevance,Human,31,5.0
QGval,Relevance,Human,32,5.0
QGval,Relevance,Human,33,5.0
QGval,Relevance,Human,34,5.0
QGval,Relevance,Human,35,5.0
QGval,Relevance,Human,36,5.0
QGval,Relevance,Human,37,5.0
QGval,Relevance,Human,38,5.0
QGval,Relevance,Human,39,5.0
QGval,Relevance,Human,40,5.0
QGval,Relevance,Human,41,5.0
QGval,Relevance,Human,42,5.0
QGval,Relevance,Human,43,5.0
QGval,Relevance,Human,44,5.0
QGval,Relevance,Human,45,5.0
QGval,Relevance,Human,46,5.0
QGval,Relevance,Human,47,5.0
QGval,Relevance,Human,48,5.0
QGval,Relevance,Human,49,5.0
QGval,Relevance,Human,50,5.0
QGval,Relevance,Human,51,5.0
QGval,Relevance,Human,52,4.666666666666667
QGval,Relevance,Human,53,4.666666666666667
QGval,Relevance,Human,54,5.0
QGval,Relevance,Human,55,5.0
QGval,Relevance,Human,56,4.666666666666667
QGval,Relevance,Human,57,5.0
QGval,Relevance,Human,58,5.0
QGval,Relevance,Human,59,5.0
QGval,Relevance,Human,60,5.0
QGval,Relevance,Human,61,5.0
QGval,Relevance,Human,62,5.0
QGval,Relevance,Human,63,5.0
QGval,Relevance,Human,64,5.0
QGval,Relevance,Human,65,5.0
QGval,Relevance,Human,66,5.0
QGval,Relevance,Human,67,5.0
QGval,Relevance,Human,68,5.0
QGval,Relevance,Human,69,5.0
QGval,Relevance,Human,70,5.0
QGval,Relevance,MAS,1,5.0
QGval,Relevance,MAS,2,5.0
QGval,Relevance,MAS,3,5.0
QGval,Relevance,MAS,4,5.0
QGval,Relevance,MAS,5,5.0
QGval,Relevance,MAS,6,5.0
QGval,Relevance,MAS,7,5.0
QGval,Relevance,MAS,8,5.0
QGval,Relevance,MAS,9,5.0
QGval,Relevance,MAS,10,5.0
QGval,Relevance,MAS,11,5.0
QGval,Relevance,MAS,12,5.0
QGval,Relevance,MAS,13,5.0
QGval,Relevance,MAS,14,5.0
QGval,Relevance,MAS,15,5.0
QGval,Relevance,MAS,16,5.0
QGval,Relevance,MAS,17,5.0
QGval,Relevance,MAS,18,5.0
QGval,Relevance,MAS,19,5.0
QGval,Relevance,MAS,20,5.0
QGval,Relevance,MAS,21,5.0
QGval,Relevance,MAS,22,5.0
QGval,Relevance,MAS,23,5.0
QGval,Relevance,MAS,24,5.0
QGval,Relevance,MAS,25,5.0
QGval,Relevance,MAS,26,5.0
QGval,Relevance,MAS,27,5.0
QGval,Relevance,MAS,28,5.0
QGval,Relevance,MAS,29,5.0
QGval,Relevance,MAS,30,5.0
QGval,Relevance,MAS,31,5.0
QGval,Relevance,MAS,32,5.0
QGval,Relevance,MAS,33,5.0
QGval,Relevance,MAS,34,5.0
QGval,Relevance,MAS,35,5.0
QGval,Relevance,MAS,36,5.0
QGval,Relevance,MAS,37,5.0
QGval,Relevance,MAS,38,5.0
QGval,Relevance,MAS,39,5.0
QGval,Relevance,MAS,40,5.0
QGval,Relevance,MAS,41,5.0
QGval,Relevance,MAS,42,5.0
QGval,Relevance,MAS,43,5.0
QGval,Relevance,MAS,44,5.0
QGval,Relevance,MAS,45,5.0
QGval,Relevance,MAS,46,5.0
QGval,Relevance,MAS,47,5.0
QGval,Relevance,MAS,48,5.0
QGval,Relevance,MAS,49,5.0
QGval,Relevance,MAS,50,5.0
QGval,Relevance,MAS,51,4.666666666666667
QGval,Relevance,MAS,52,4.666666666666667
QGval,Relevance,MAS,53,4.666666666666667
QGval,Relevance,MAS,54,5.0
QGval,Relevance,MAS,55,4.666666666666667
QGval,Relevance,MAS,56,5.0
QGval,Relevance,MAS,57,4.666666666666667
QGval,Relevance,MAS,58,5.0
QGval,Relevance,MAS,59,5.0
QGval,Relevance,MAS,60,5.0
QGval,Relevance,MAS,61,4.666666666666667
QGval,Relevance,MAS,62,4.666666666666667
QGval,Relevance,MAS,63,4.666666666666667
QGval,Relevance,MAS,64,4.666666666666667
QGval,Relevance,MAS,65,5.0
QGval,Relevance,MAS,66,5.0
QGval,Relevance,MAS,67,5.0
QGval,Relevance,MAS,68,5.0
QGval,Relevance,MAS,69,5.0
QGval,Relevance,MAS,70,5.0
QGval,Consistency,Human,1,5.0
QGval,Consistency,Human,2,5.0
QGval,Consistency,Human,3,5.0
QGval,Consistency,Human,4,5.0
QGval,Consistency,Human,5,5.0
QGval,Consistency,Human,6,4.666666666666667
QGval,Consistency,Human,7,5.0
QGval,Consistency,Human,8,4.0
QGval,Consistency,Human,9,4.666666666666667
QGval,Consistency,Human,10,5.0
QGval,Consistency,Human,11,5.0
QGval,Consistency,Human,12,4.666666666666667
QGval,Consistency,Human,13,5.0
QGval,Consistency,Human,14,5.0
QGval,Consistency,Human,15,5.0
QGval,Consistency,Human,16,5.0
QGval,Consistency,Human,17,5.0
QGval,Consistency,Human,18,5.0
QGval,Consistency,Human,19,5.0
QGval,Consistency,Human,20,5.0
QGval,Consistency,Human,21,5.0
QGval,Consistency,Human,22,5.0
QGval,Consistency,Human,23,5.0
QGval,Consistency,Human,24,5.0
QGval,Consistency,Human,25,5.0
QGval,Consistency,Human,26,5.0
QGval,Consistency,Human,27,5.0
QGval,Consistency,Human,28,5.0
QGval,Consistency,Human,29,5.0
QGval,Consistency,Human,30,5.0
QGval,Consistency,Human,31,5.0
QGval,Consistency,Human,32,5.0
QGval,Consistency,Human,33,5.0
QGval,Consistency,Human,34,5.0
QGval,Consistency,Human,35,5.0
QGval,Consistency,Human,36,5.0
QGval,Consistency,Human,37,5.0
QGval,Consistency,Human,38,5.0
QGval,Consistency,Human,39,5.0
QGval,Consistency,Human,40,5.0
QGval,Consistency,Human,41,5.0
QGval,Consistency,Human,42,5.0
QGval,Consistency,Human,43,5.0
QGval,Consistency,Human,44,5.0
QGval,Consistency,Human,45,5.0
QGval,Consistency,Human,46,5.0
QGval,Consistency,Human,47,5.0
QGval,Consistency,Human,48,5.0
QGval,Consistency,Human,49,5.0
QGval,Consistency,Human,50,5.0
QGval,Consistency,Human,51,5.0
QGval,Consistency,Human,52,5.0
QGval,Consistency,Human,53,5.0
QGval,Consistency,Human,54,5.0
QGval,Consistency,Human,55,5.0
QGval,Consistency,Human,56,5.0
QGval,Consistency,Human,57,5.0
QGval,Consistency,Human,58,5.0
QGval,Consistency,Human,59,5.0
QGval,Consistency,Human,60,5.0
QGval,Consistency,Human,61,5.0
QGval,Consistency,Human,62,5.0
QGval,Consistency,Human,63,5.0
QGval,Consistency,Human,64,5.0
QGval,Consistency,Human,65,5.0
QGval,Consistency,Human,66,5.0
QGval,Consistency,Human,67,5.0
QGval,Consistency,Human,68,5.0
QGval,Consistency,Human,69,5.0
QGval,Consistency,Human,70,5.0
QGval,Consistency,MAS,1,5.0
QGval,Consistency,MAS,2,5.0
QGval,Consistency,MAS,3,5.0
QGval,Consistency,MAS,4,5.0
QGval,Consistency,MAS,5,5.0
QGval,Consistency,MAS,6,5.0
QGval,Consistency,MAS,7,5.0
QGval,Consistency,MAS,8,5.0
QGval,Consistency,MAS,9,5.0
QGval,Consistency,MAS,10,5.0
QGval,Consistency,MAS,11,5.0
QGval,Consistency,MAS,12,5.0
QGval,Consistency,MAS,13,5.0
QGval,Consistency,MAS,14,5.0
QGval,Consistency,MAS,15,5.0
QGval,Consistency,MAS,16,5.0
QGval,Consistency,MAS,17,5.0
QGval,Consistency,MAS,18,5.0
QGval,Consistency,MAS,19,5.0
QGval,Consistency,MAS,20,5.0
QGval,Consistency,MAS,21,5.0
QGval,Consistency,MAS,22,5.0
QGval,Consistency,MAS,23,5.0
QGval,Consistency,MAS,24,5.0
QGval,Consistency,MAS,25,5.0
QGval,Consistency,MAS,26,5.0
QGval,Consistency,MAS,27,5.0
QGval,Consistency,MAS,28,5.0
QGval,Consistency,MAS,29,5.0
QGval,Consistency,MAS,30,5.0
QGval,Consistency,MAS,31,5.0
QGval,Consistency,MAS,32,5.0
QGval,Consistency,MAS,33,5.0
QGval,Consistency,MAS,34,5.0
QGval,Consistency,MAS,35,5.0
QGval,Consistency,MAS,36,5.0
QGval,Consistency,MAS,37,5.0
QGval,Consistency,MAS,38,5.0
QGval,Consistency,MAS,39,5.0
QGval,Consistency,MAS,40,5.0
QGval,Consistency,MAS,41,5.0
QGval,Consistency,MAS,42,5.0
QGval,Consistency,MAS,43,5.0
QGval,Consistency,MAS,44,5.0
QGval,Consistency,MAS,45,5.0
QGval,Consistency,MAS,46,5.0
QGval,Consistency,MAS,47,5.0
QGval,Consistency,MAS,48,5.0
QGval,Consistency,MAS,49,5.0
QGval,Consistency,MAS,50,5.0
QGval,Consistency,MAS,51,5.0
QGval,Consistency,MAS,52,5.0
QGval,Consistency,MAS,53,5.0
QGval,Consistency,MAS,54,5.0
QGval,Consistency,MAS,55,5.0
QGval,Consistency,MAS,56,5.0
QGval,Consistency,MAS,57,5.0
QGval,Consistency,MAS,58,5.0
QGval,Consistency,MAS,59,5.0
QGval,Consistency,MAS,60,5.0
QGval,Consistency,MAS,61,5.0
QGval,Consistency,MAS,62,5.0
QGval,Consistency,MAS,63,5.0
QGval,Consistency,MAS,64,5.0
QGval,Consistency,MAS,65,5.0
QGval,Consistency,MAS,66,5.0
QGval,Consistency,MAS,67,5.0
QGval,Consistency,MAS,68,5.0
QGval,Consistency,MAS,69,5.0
QGval,Consistency,MAS,70,5.0
QGval,Answerability,Human,1,5.0
QGval,Answerability,Human,2,5.0
QGval,Answerability,Human,3,5.0
QGval,Answerability,Human,4,5.0
QGval,Answerability,Human,5,5.0
QGval,Answerability,Human,6,4.666666666666667
QGval,Answerability,Human,7,5.0
QGval,Answerability,Human,8,4.333333333333333
QGval,Answerability,Human,9,5.0
QGval,Answerability,Human,10,5.0
QGval,Answerability,Human,11,5.0
QGval,Answerability,Human,12,4.666666666666667
QGval,Answerability,Human,13,5.0
QGval,Answerability,Human,14,5.0
QGval,Answerability,Human,15,5.0
QGval,Answerability,Human,16,5.0
QGval,Answerability,Human,17,5.0
QGval,Answerability,Human,18,5.0
QGval,Answerability,Human,19,5.0
QGval,Answerability,Human,20,5.0
QGval,Answerability,Human,21,5.0
QGval,Answerability,Human,22,5.0
QGval,Answerability,Human,23,5.0
QGval,Answerability,Human,24,5.0
QGval,Answerability,Human,25,5.0
QGval,Answerability,Human,26,5.0
QGval,Answerability,Human,27,5.0
QGval,Answerability,Human,28,5.0
QGval,Answerability,Human,29,5.0
QGval,Answerability,Human,30,5.0
