item_id,paper,paper_item_no,source_true,item_type,n_machine_runs,answer_key,answer_key_format_ok,guideline_consistency_score_5_mean,guideline_consistency_score_5_sd,guideline_consistency_pass_rate,single_best_answer_score_5_mean,single_best_answer_score_5_sd,single_best_answer_pass_rate,answer_key_validation_score_5_mean,answer_key_validation_score_5_sd,answer_key_validation_pass_rate,distractor_effectiveness_score_5_mean,distractor_effectiveness_score_5_sd,distractor_effectiveness_pass_rate,stem_ambiguity_control_score_5_mean,stem_ambiguity_control_score_5_sd,stem_ambiguity_control_pass_rate,major_defect_runs,major_defect_rate,major_defect_consensus,critical_defect_runs,critical_defect_rate,critical_defect_any_run,critical_defect_reasons,all_safety_domains_pass_rate
H036,P,36,Human,A3/A4,4,E,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.3375,0.125,1.0,4.925,0.1499999999999999,1.0,0,0.0,0,0,0.0,0,,1.0
H037,P,37,Human,A3/A4,4,D,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.3375,0.125,1.0,4.925,0.1499999999999999,1.0,0,0.0,0,0,0.0,0,,1.0
H038,P,38,Human,A3/A4,4,D,1,4.7875,0.125,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.2375,0.1887458608817691,1.0,5.0,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
H039,P,39,Human,A3/A4,4,B,1,4.7875,0.125,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.2375,0.1887458608817691,1.0,5.0,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
H040,P,40,Human,B,4,A,1,4.7875,0.125,1.0,4.912500000000001,0.1181453906563152,1.0,4.8375,0.125,1.0,4.25,0.14719601443879762,1.0,4.9375,0.125,1.0,0,0.0,0,0,0.0,0,,1.0
H041,P,41,Human,B,4,E,1,4.7875,0.125,1.0,4.912500000000001,0.1181453906563152,1.0,4.8375,0.125,1.0,4.25,0.14719601443879762,1.0,4.9375,0.125,1.0,0,0.0,0,0,0.0,0,,1.0
H042,P,42,Human,B,4,D,1,4.7875,0.125,1.0,4.912500000000001,0.1181453906563152,1.0,4.8375,0.125,1.0,4.25,0.14719601443879762,1.0,4.9375,0.125,1.0,0,0.0,0,0,0.0,0,,1.0
H043,P,43,Human,X,4,ABCE,1,4.7875,0.125,1.0,4.975000000000001,0.04999999999999982,1.0,4.9,0.0,1.0,4.112500000000001,0.07500000000000018,1.0,4.9375,0.125,1.0,0,0.0,0,0,0.0,0,,1.0
H044,P,44,Human,X,4,ABDE,1,4.85,0.0,1.0,4.975000000000001,0.04999999999999982,1.0,4.925000000000001,0.04999999999999982,1.0,4.112500000000001,0.07500000000000018,1.0,4.9375,0.125,1.0,0,0.0,0,0,0.0,0,,1.0
H045,P,45,Human,X,4,ACE,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.925000000000001,0.04999999999999982,1.0,4.0625,0.17500000000000027,0.75,5.0,0.0,1.0,1,0.25,0,0,0.0,0,,0.75
H046,P,46,Human,X,4,ABCD,1,4.8125,0.07499999999999973,1.0,5.000000000000001,0.0,1.0,4.925000000000001,0.04999999999999982,1.0,4.15,0.0,1.0,4.925,0.1499999999999999,1.0,0,0.0,0,0,0.0,0,,1.0
H047,P,47,Human,X,4,BDE,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.8,0.0,1.0,4.15,0.0,1.0,5.0,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
H048,P,48,Human,X,4,B,1,4.8125,0.07499999999999973,1.0,4.937500000000001,0.125,1.0,4.7375,0.125,1.0,4.0375,0.165201896679992,0.75,5.0,0.0,1.0,1,0.25,0,0,0.0,0,,0.75
H049,P,49,Human,X,4,BD,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.8,0.0,1.0,4.0625,0.17500000000000027,0.75,5.0,0.0,1.0,1,0.25,0,0,0.0,0,,0.75
H050,P,50,Human,X,4,BD,1,4.8125,0.07499999999999973,1.0,5.000000000000001,0.0,1.0,4.8,0.0,1.0,4.15,0.0,1.0,5.0,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
M001,M,1,MAS,A1,4,D,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.25,0.30000000000000027,0.75,4.733333333333333,0.0,1.0,1,0.25,0,0,0.0,0,,0.75
M002,M,2,MAS,A1,4,C,1,4.6,0.0,1.0,5.000000000000001,0.0,1.0,4.8,0.0,1.0,4.025,0.1848422751068236,0.75,4.733333333333333,0.0,1.0,1,0.25,0,0,0.0,0,,0.75
M003,M,3,MAS,A2,4,C,1,4.8125,0.07499999999999973,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.3375,0.125,1.0,4.733333333333333,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
M004,M,4,MAS,A2,4,C,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,5.0,0.0,1.0,4.733333333333333,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
M005,M,5,MAS,A2,4,B,1,4.8125,0.07499999999999973,1.0,4.912500000000001,0.1181453906563152,1.0,4.8375,0.125,1.0,4.85,0.14719601443879732,1.0,4.595833333333333,0.16007810593582117,1.0,0,0.0,0,0,0.0,0,,1.0
M006,M,6,MAS,A1,4,D,1,4.6,0.0,1.0,4.975000000000001,0.04999999999999982,1.0,4.9,0.0,1.0,4.1375,0.18874586088176903,0.75,4.670833333333333,0.125,1.0,1,0.25,0,0,0.0,0,,0.75
M007,M,7,MAS,A1,4,A,1,4.8125,0.07499999999999973,1.0,4.900000000000001,0.0,1.0,4.9,0.0,1.0,4.1875,0.125,1.0,4.483333333333333,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
M008,M,8,MAS,A2,4,C,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.85,0.17795130420052171,1.0,4.733333333333333,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
M009,M,9,MAS,A2,4,D,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.925000000000001,0.04999999999999982,1.0,4.775,0.28722813232690125,1.0,4.733333333333333,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
M010,M,10,MAS,A2,4,C,1,5.0,0.0,1.0,4.737500000000001,0.125,1.0,4.7125,0.14930394055974086,1.0,4.3,0.14142135623730984,1.0,4.733333333333333,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
M011,M,11,MAS,A2,4,B,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.925000000000001,0.04999999999999982,1.0,4.4,0.0,1.0,4.725,0.016666666666666607,1.0,0,0.0,0,0,0.0,0,,1.0
M012,M,12,MAS,A2,4,C,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.6625,0.17499999999999982,1.0,4.725,0.23154073315749665,1.0,0,0.0,0,0,0.0,0,,1.0
M013,M,13,MAS,A2,4,C,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.9375,0.125,1.0,4.8,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
M014,M,14,MAS,A2,4,B,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.3375,0.125,1.0,4.733333333333333,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
M015,M,15,MAS,A2,4,E,1,4.5375,0.125,1.0,4.900000000000001,0.0,1.0,4.9,0.0,1.0,4.1,0.17795130420052188,0.75,4.483333333333333,0.0,1.0,1,0.25,0,0,0.0,0,,0.75
M016,M,16,MAS,A2,4,B,1,4.5,0.12247448713915883,1.0,4.837500000000001,0.125,1.0,4.8375,0.125,1.0,4.1375,0.1652018966799918,0.75,4.483333333333333,0.0,1.0,1,0.25,0,0,0.0,0,,0.75
M017,M,17,MAS,A1,4,A,1,4.5375,0.125,1.0,4.975000000000001,0.04999999999999982,1.0,4.8,0.0,1.0,4.1375,0.18874586088176903,0.75,4.670833333333333,0.125,1.0,1,0.25,0,0,0.0,0,,0.75
M018,M,18,MAS,A2,4,D,1,4.45,0.0,1.0,4.900000000000001,0.0,1.0,4.9,0.0,1.0,3.9,0.0,0.0,4.408333333333333,0.1499999999999999,1.0,4,1.0,1,0,0.0,0,,0.0
M019,M,19,MAS,A2,4,B,1,4.6,0.0,1.0,4.900000000000001,0.0,1.0,4.9,0.0,1.0,4.1,0.17795130420052188,0.75,4.483333333333333,0.0,1.0,1,0.25,0,0,0.0,0,,0.75
M020,M,20,MAS,A2,4,A,1,4.8125,0.07499999999999973,1.0,5.000000000000001,0.0,1.0,4.8,0.0,1.0,3.9875,0.125,0.75,4.733333333333333,0.0,1.0,1,0.25,0,0,0.0,0,,0.75
M021,M,21,MAS,A2,4,E,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.2625,0.16007810593582145,1.0,4.733333333333333,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
M022,M,22,MAS,A2,4,C,1,4.6,0.0,1.0,4.837500000000001,0.125,1.0,4.8375,0.125,1.0,4.1375,0.1652018966799918,0.75,4.483333333333333,0.0,1.0,1,0.25,0,0,0.0,0,,0.75
M023,M,23,MAS,A1,4,D,1,4.6,0.0,1.0,5.000000000000001,0.0,1.0,4.925000000000001,0.04999999999999982,1.0,4.0875,0.26575364531836637,0.75,4.733333333333333,0.0,1.0,1,0.25,0,0,0.0,0,,0.75
M024,M,24,MAS,A1,4,C,1,4.85,0.0,1.0,4.900000000000001,0.0,1.0,4.925000000000001,0.04999999999999982,1.0,4.25,0.0,1.0,4.408333333333333,0.1499999999999999,1.0,0,0.0,0,0,0.0,0,,1.0
M025,M,25,MAS,A2,4,A,1,4.85,0.0,1.0,4.975000000000001,0.04999999999999982,1.0,4.925000000000001,0.04999999999999982,1.0,3.9499999999999997,0.19999999999999996,0.75,4.595833333333333,0.16007810593582117,1.0,1,0.25,0,0,0.0,0,,0.75
M026,M,26,MAS,A3/A4,4,A,1,4.85,0.0,1.0,4.975000000000001,0.04999999999999982,1.0,4.9,0.0,1.0,4.2125,0.3750000000000002,0.75,4.670833333333333,0.125,1.0,1,0.25,0,0,0.0,0,,0.75
M027,M,27,MAS,A3/A4,4,E,1,4.85,0.0,1.0,4.975000000000001,0.04999999999999982,1.0,4.9,0.0,1.0,4.2125,0.3750000000000002,0.75,4.670833333333333,0.125,1.0,1,0.25,0,0,0.0,0,,0.75
M028,M,28,MAS,A3/A4,4,C,1,4.85,0.0,1.0,4.975000000000001,0.04999999999999982,1.0,4.9,0.0,1.0,4.2125,0.3750000000000002,0.75,4.670833333333333,0.125,1.0,1,0.25,0,0,0.0,0,,0.75
M029,M,29,MAS,A3/A4,4,A,1,5.0,0.0,1.0,4.912500000000001,0.1181453906563152,1.0,4.8375,0.125,1.0,4.05,0.0577350269189625,0.75,4.7375,0.21098314835286935,1.0,1,0.25,0,0,0.0,0,,0.75
M030,M,30,MAS,A3/A4,4,D,1,5.0,0.0,1.0,4.912500000000001,0.1181453906563152,1.0,4.8375,0.125,1.0,4.05,0.0577350269189625,0.75,4.7375,0.21098314835286935,1.0,1,0.25,0,0,0.0,0,,0.75
M031,M,31,MAS,A3/A4,4,B,1,5.0,0.0,1.0,4.912500000000001,0.1181453906563152,1.0,4.8375,0.125,1.0,4.05,0.0577350269189625,0.75,4.7375,0.21098314835286935,1.0,1,0.25,0,0,0.0,0,,0.75
M032,M,32,MAS,A3/A4,4,D,1,5.0,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.175,0.15000000000000036,1.0,4.8,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
M033,M,33,MAS,A3/A4,4,C,1,5.0,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.175,0.15000000000000036,1.0,4.8,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
M034,M,34,MAS,A3/A4,4,D,1,5.0,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.175,0.15000000000000036,1.0,4.8,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
M035,M,35,MAS,A3/A4,4,B,1,4.9625,0.07500000000000018,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.3125,0.17500000000000027,1.0,4.8,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
M036,M,36,MAS,A3/A4,4,C,1,4.9625,0.07500000000000018,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.3125,0.17500000000000027,1.0,4.8,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
M037,M,37,MAS,A3/A4,4,D,1,4.9625,0.07500000000000018,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.3125,0.17500000000000027,1.0,4.8,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
M038,M,38,MAS,A3/A4,4,C,1,5.0,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.0874999999999995,0.02499999999999991,1.0,4.733333333333333,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
M039,M,39,MAS,A3/A4,4,A,1,5.0,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.0874999999999995,0.02499999999999991,1.0,4.733333333333333,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
M040,M,40,MAS,B,4,C,1,5.0,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.0874999999999995,0.02499999999999991,1.0,4.733333333333333,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
M041,M,41,MAS,B,4,E,1,4.8125,0.07499999999999973,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.3375,0.125,1.0,4.658333333333333,0.1499999999999999,1.0,0,0.0,0,0,0.0,0,,1.0
M042,M,42,MAS,B,4,D,1,4.8125,0.07499999999999973,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.3375,0.125,1.0,4.658333333333333,0.1499999999999999,1.0,0,0.0,0,0,0.0,0,,1.0
M043,M,43,MAS,X,4,ABD,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.8,0.0,1.0,3.8125,0.02499999999999991,0.0,5.0,0.0,1.0,4,1.0,1,0,0.0,0,,0.0
M044,M,44,MAS,X,4,ABC,1,4.8125,0.07499999999999973,1.0,4.937500000000001,0.125,1.0,4.7375,0.125,1.0,3.6999999999999997,0.23452078799117154,0.0,5.0,0.0,1.0,4,1.0,1,0,0.0,0,,0.0
M045,M,45,MAS,X,4,ABCDE,1,4.7875,0.125,1.0,4.700000000000001,0.20000000000000018,1.0,4.425,0.25,1.0,4.4,0.0,1.0,4.733333333333333,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
M046,M,46,MAS,X,4,ABDE,1,4.5375,0.125,1.0,4.900000000000001,0.0,1.0,4.9,0.0,1.0,4.25,0.0,1.0,4.483333333333333,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
M047,M,47,MAS,X,4,ABC,1,4.7875,0.125,1.0,4.975000000000001,0.04999999999999982,1.0,4.9,0.0,1.0,4.875,0.16583123951776985,1.0,4.670833333333333,0.125,1.0,0,0.0,0,0,0.0,0,,1.0
M048,M,48,MAS,X,4,ABC,1,4.85,0.0,1.0,4.975000000000001,0.04999999999999982,1.0,4.925000000000001,0.04999999999999982,1.0,4.8125,0.23935677693908453,1.0,4.595833333333333,0.16007810593582117,1.0,0,0.0,0,0,0.0,0,,1.0
M049,M,49,MAS,X,4,ABCD,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.825,0.050000000000000266,1.0,3.7375,0.125,0.0,4.925,0.1499999999999999,1.0,4,1.0,1,0,0.0,0,,0.0
M050,M,50,MAS,X,4,ABCD,1,4.6,0.0,1.0,4.937500000000001,0.125,1.0,4.862500000000001,0.07500000000000018,1.0,4.3125,0.17500000000000027,1.0,4.733333333333333,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
