item_id,n_responses,difficulty,upper_27_correct_rate,lower_27_correct_rate,discrimination_upper_minus_lower,upper_group_n,lower_group_n,source_true,blueprint_cognitive_level
M007,50,0.92,1.0,0.8571428571428571,0.1428571428571429,14,14,MAS,recall
M008,50,0.84,1.0,0.8571428571428571,0.1428571428571429,14,14,MAS,application
M009,50,0.52,1.0,0.2857142857142857,0.7142857142857143,14,14,MAS,application
M010,50,0.4,0.6428571428571429,0.2857142857142857,0.3571428571428572,14,14,MAS,application
M011,50,0.38,0.5714285714285714,0.35714285714285715,0.21428571428571425,14,14,MAS,application
M012,50,0.56,0.7857142857142857,0.35714285714285715,0.42857142857142855,14,14,MAS,application
M013,50,0.54,0.6428571428571429,0.42857142857142855,0.21428571428571436,14,14,MAS,application
M014,50,0.42,0.7142857142857143,0.14285714285714285,0.5714285714285714,14,14,MAS,application
M015,50,0.64,0.9285714285714286,0.5,0.4285714285714286,14,14,MAS,application
M016,50,0.94,1.0,0.8571428571428571,0.1428571428571429,14,14,MAS,application
M017,50,0.96,1.0,0.8571428571428571,0.1428571428571429,14,14,MAS,recall
M018,50,0.46,0.8571428571428571,0.35714285714285715,0.49999999999999994,14,14,MAS,application
M019,50,0.92,1.0,0.7142857142857143,0.2857142857142857,14,14,MAS,application
M020,50,0.9,1.0,0.6428571428571429,0.3571428571428571,14,14,MAS,application
M021,50,0.68,0.8571428571428571,0.5,0.3571428571428571,14,14,MAS,application
M022,50,0.92,0.9285714285714286,1.0,-0.0714285714285714,14,14,MAS,application
M023,50,0.44,0.7142857142857143,0.21428571428571427,0.5,14,14,MAS,recall
M024,50,0.52,0.7142857142857143,0.5,0.2142857142857143,14,14,MAS,recall
M025,50,0.48,0.7857142857142857,0.42857142857142855,0.35714285714285715,14,14,MAS,application
M026,50,0.44,0.5,0.35714285714285715,0.14285714285714285,14,14,MAS,analysis
M027,50,0.72,0.9285714285714286,0.42857142857142855,0.5,14,14,MAS,analysis
M028,50,0.56,0.7857142857142857,0.5714285714285714,0.2142857142857143,14,14,MAS,analysis
M029,50,0.26,0.42857142857142855,0.2857142857142857,0.14285714285714285,14,14,MAS,analysis
M030,50,0.26,0.42857142857142855,0.07142857142857142,0.3571428571428571,14,14,MAS,analysis
M031,50,0.76,0.8571428571428571,0.6428571428571429,0.2142857142857142,14,14,MAS,analysis
M032,50,0.82,0.9285714285714286,0.5714285714285714,0.3571428571428572,14,14,MAS,analysis
M033,50,0.74,0.9285714285714286,0.5714285714285714,0.3571428571428572,14,14,MAS,analysis
M034,50,0.86,0.7857142857142857,0.7142857142857143,0.0714285714285714,14,14,MAS,analysis
M035,50,0.38,0.7142857142857143,0.2857142857142857,0.4285714285714286,14,14,MAS,analysis
M036,50,0.74,0.9285714285714286,0.5714285714285714,0.3571428571428572,14,14,MAS,analysis
M037,50,0.78,0.9285714285714286,0.6428571428571429,0.2857142857142857,14,14,MAS,analysis
M038,50,0.68,0.8571428571428571,0.35714285714285715,0.49999999999999994,14,14,MAS,analysis
M039,50,0.94,1.0,0.7857142857142857,0.2142857142857143,14,14,MAS,analysis
M040,50,0.44,0.5714285714285714,0.35714285714285715,0.21428571428571425,14,14,MAS,comprehension
M041,50,0.76,1.0,0.42857142857142855,0.5714285714285714,14,14,MAS,comprehension
M042,50,0.54,0.5,0.42857142857142855,0.07142857142857145,14,14,MAS,comprehension
M043,50,0.02,0.0,0.07142857142857142,-0.07142857142857142,14,14,MAS,analysis
M044,50,0.16,0.35714285714285715,0.07142857142857142,0.2857142857142857,14,14,MAS,analysis
M045,50,0.62,0.7857142857142857,0.42857142857142855,0.35714285714285715,14,14,MAS,analysis
M046,50,0.04,0.07142857142857142,0.0,0.07142857142857142,14,14,MAS,analysis
M047,50,0.28,0.5,0.21428571428571427,0.2857142857142857,14,14,MAS,analysis
M048,50,0.64,0.8571428571428571,0.42857142857142855,0.42857142857142855,14,14,MAS,analysis
M049,50,0.42,0.9285714285714286,0.14285714285714285,0.7857142857142858,14,14,MAS,analysis
M050,50,0.38,0.7142857142857143,0.14285714285714285,0.5714285714285714,14,14,MAS,analysis
