cognitive_level,cognitive_level_label,metric,source,within_sheet_item_seq,expert_mean_score
记忆,Knowledge,ULM,MAS,9,3.9375
记忆,Knowledge,ULM,MAS,10,3.9375
理解,Comprehension,QGval,Human,1,4.904761904761905
理解,Comprehension,QGval,Human,2,5.0
理解,Comprehension,QGval,Human,3,5.0
理解,Comprehension,QGval,Human,4,4.9523809523809526
理解,Comprehension,QGval,Human,5,5.0
理解,Comprehension,QGval,Human,6,5.0
理解,Comprehension,QGval,Human,7,5.0
理解,Comprehension,QGval,Human,8,5.0
理解,Comprehension,QGval,Human,9,5.0
理解,Comprehension,QGval,Human,10,5.0
理解,Comprehension,QGval,Human,11,4.9523809523809526
理解,Comprehension,QGval,Human,12,5.0
理解,Comprehension,QGval,Human,13,4.9523809523809526
理解,Comprehension,QGval,Human,14,5.0
理解,Comprehension,QGval,Human,15,4.904761904761905
理解,Comprehension,QGval,Human,16,4.904761904761905
理解,Comprehension,QGval,Human,17,4.9523809523809526
理解,Comprehension,QGval,MAS,1,4.9523809523809526
理解,Comprehension,QGval,MAS,2,5.0
理解,Comprehension,QGval,MAS,3,5.0
理解,Comprehension,QGval,MAS,4,5.0
理解,Comprehension,QGval,MAS,5,5.0
理解,Comprehension,QGval,MAS,6,5.0
理解,Comprehension,QGval,MAS,7,4.9523809523809526
理解,Comprehension,QGval,MAS,8,5.0
理解,Comprehension,QGval,MAS,9,5.0
理解,Comprehension,QGval,MAS,10,5.0
理解,Comprehension,QGval,MAS,11,5.0
理解,Comprehension,QGval,MAS,12,5.0
理解,Comprehension,QGval,MAS,13,4.9523809523809526
理解,Comprehension,QGval,MAS,14,4.9523809523809526
理解,Comprehension,QGval,MAS,15,5.0
理解,Comprehension,QGval,MAS,16,5.0
理解,Comprehension,QGval,MAS,17,5.0
理解,Comprehension,ULM,Human,1,4.166666666666667
理解,Comprehension,ULM,Human,2,4.208333333333333
理解,Comprehension,ULM,Human,3,4.229166666666667
理解,Comprehension,ULM,Human,4,4.020833333333333
理解,Comprehension,ULM,Human,5,4.020833333333333
理解,Comprehension,ULM,Human,6,4.020833333333333
理解,Comprehension,ULM,Human,7,4.1875
理解,Comprehension,ULM,Human,8,4.229166666666667
理解,Comprehension,ULM,Human,9,4.25
理解,Comprehension,ULM,Human,10,4.166666666666667
理解,Comprehension,ULM,Human,11,3.875
理解,Comprehension,ULM,Human,12,4.041666666666667
理解,Comprehension,ULM,Human,13,3.8958333333333335
理解,Comprehension,ULM,Human,14,4.104166666666667
理解,Comprehension,ULM,Human,15,4.041666666666667
理解,Comprehension,ULM,Human,16,4.020833333333333
理解,Comprehension,ULM,Human,17,4.125
理解,Comprehension,ULM,MAS,1,4.270833333333333
理解,Comprehension,ULM,MAS,2,4.270833333333333
理解,Comprehension,ULM,MAS,3,4.166666666666667
理解,Comprehension,ULM,MAS,4,4.208333333333333
理解,Comprehension,ULM,MAS,5,4.208333333333333
理解,Comprehension,ULM,MAS,6,4.1875
理解,Comprehension,ULM,MAS,7,3.9583333333333335
理解,Comprehension,ULM,MAS,8,4.0625
理解,Comprehension,ULM,MAS,9,4.020833333333333
理解,Comprehension,ULM,MAS,10,4.104166666666667
理解,Comprehension,ULM,MAS,11,4.395833333333333
理解,Comprehension,ULM,MAS,12,4.395833333333333
理解,Comprehension,ULM,MAS,13,3.9791666666666665
理解,Comprehension,ULM,MAS,14,4.145833333333333
理解,Comprehension,ULM,MAS,15,4.0
理解,Comprehension,ULM,MAS,16,4.020833333333333
理解,Comprehension,ULM,MAS,17,4.0625
应用,Application,QGval,Human,1,4.095238095238095
应用,Application,QGval,Human,2,4.9523809523809526
应用,Application,QGval,Human,3,5.0
应用,Application,QGval,Human,4,5.0
应用,Application,QGval,Human,5,4.857142857142857
应用,Application,QGval,Human,6,4.714285714285714
应用,Application,QGval,Human,7,5.0
应用,Application,QGval,Human,8,5.0
应用,Application,QGval,Human,9,5.0
应用,Application,QGval,Human,10,4.9523809523809526
应用,Application,QGval,Human,11,5.0
应用,Application,QGval,Human,12,4.9523809523809526
应用,Application,QGval,Human,13,5.0
应用,Application,QGval,Human,14,4.904761904761905
应用,Application,QGval,Human,15,5.0
应用,Application,QGval,Human,16,4.904761904761905
应用,Application,QGval,Human,17,4.904761904761905
应用,Application,QGval,Human,18,5.0
应用,Application,QGval,Human,19,4.904761904761905
应用,Application,QGval,Human,20,4.9523809523809526
应用,Application,QGval,Human,21,4.857142857142857
应用,Application,QGval,Human,22,5.0
应用,Application,QGval,Human,23,4.857142857142857
应用,Application,QGval,Human,24,5.0
应用,Application,QGval,Human,25,5.0
应用,Application,QGval,MAS,1,5.0
应用,Application,QGval,MAS,2,4.904761904761905
应用,Application,QGval,MAS,3,5.0
应用,Application,QGval,MAS,4,5.0
应用,Application,QGval,MAS,5,5.0
应用,Application,QGval,MAS,6,4.857142857142858
应用,Application,QGval,MAS,7,5.0
应用,Application,QGval,MAS,8,4.9523809523809526
应用,Application,QGval,MAS,9,5.0
应用,Application,QGval,MAS,10,4.809523809523809
应用,Application,QGval,MAS,11,4.9523809523809526
应用,Application,QGval,MAS,12,4.9523809523809526
应用,Application,QGval,MAS,13,5.0
应用,Application,QGval,MAS,14,5.0
应用,Application,QGval,MAS,15,5.0
应用,Application,QGval,MAS,16,5.0
应用,Application,QGval,MAS,17,5.0
应用,Application,QGval,MAS,18,5.0
应用,Application,QGval,MAS,19,5.0
应用,Application,QGval,MAS,20,4.9523809523809526
应用,Application,QGval,MAS,21,5.0
应用,Application,QGval,MAS,22,4.571428571428572
应用,Application,QGval,MAS,23,4.904761904761905
应用,Application,QGval,MAS,24,5.0
应用,Application,QGval,MAS,25,4.904761904761905
应用,Application,ULM,Human,1,3.8958333333333335
应用,Application,ULM,Human,2,4.0
应用,Application,ULM,Human,3,4.0
应用,Application,ULM,Human,4,4.0
应用,Application,ULM,Human,5,3.9791666666666665
应用,Application,ULM,Human,6,4.041666666666667
应用,Application,ULM,Human,7,4.020833333333333
应用,Application,ULM,Human,8,4.270833333333333
应用,Application,ULM,Human,9,4.041666666666667
应用,Application,ULM,Human,10,4.354166666666667
应用,Application,ULM,Human,11,4.041666666666667
应用,Application,ULM,Human,12,4.291666666666667
应用,Application,ULM,Human,13,3.9791666666666665
应用,Application,ULM,Human,14,3.9791666666666665
应用,Application,ULM,Human,15,4.208333333333333
应用,Application,ULM,Human,16,4.104166666666667
应用,Application,ULM,Human,17,4.3125
应用,Application,ULM,Human,18,4.083333333333333
应用,Application,ULM,Human,19,4.0625
应用,Application,ULM,Human,20,4.1875
应用,Application,ULM,Human,21,4.083333333333333
应用,Application,ULM,Human,22,4.1875
应用,Application,ULM,Human,23,4.145833333333333
应用,Application,ULM,Human,24,4.145833333333333
应用,Application,ULM,Human,25,4.125
应用,Application,ULM,MAS,1,4.270833333333333
应用,Application,ULM,MAS,2,4.291666666666667
应用,Application,ULM,MAS,3,4.416666666666667
应用,Application,ULM,MAS,4,4.354166666666667
应用,Application,ULM,MAS,5,4.395833333333333
应用,Application,ULM,MAS,6,4.3125
应用,Application,ULM,MAS,7,4.375
应用,Application,ULM,MAS,8,4.25
应用,Application,ULM,MAS,9,4.333333333333333
应用,Application,ULM,MAS,10,4.291666666666667
应用,Application,ULM,MAS,11,4.083333333333333
应用,Application,ULM,MAS,12,4.104166666666667
应用,Application,ULM,MAS,13,4.291666666666667
应用,Application,ULM,MAS,14,4.0
应用,Application,ULM,MAS,15,4.041666666666667
应用,Application,ULM,MAS,16,4.125
应用,Application,ULM,MAS,17,4.375
应用,Application,ULM,MAS,18,4.125
应用,Application,ULM,MAS,19,4.041666666666667
应用,Application,ULM,MAS,20,3.8958333333333335
应用,Application,ULM,MAS,21,4.083333333333333
应用,Application,ULM,MAS,22,4.104166666666667
应用,Application,ULM,MAS,23,4.208333333333333
应用,Application,ULM,MAS,24,4.104166666666667
应用,Application,ULM,MAS,25,4.166666666666667
分析,Analysis,QGval,Human,1,5.0
分析,Analysis,QGval,Human,2,4.904761904761905
分析,Analysis,QGval,Human,3,4.9523809523809526
分析,Analysis,QGval,Human,4,4.6190476190476195
分析,Analysis,QGval,Human,5,5.0
分析,Analysis,QGval,Human,6,5.0
分析,Analysis,QGval,Human,7,5.0
分析,Analysis,QGval,Human,8,5.0
分析,Analysis,QGval,Human,9,5.0
分析,Analysis,QGval,Human,10,5.0
分析,Analysis,QGval,Human,11,5.0
分析,Analysis,QGval,Human,12,5.0
分析,Analysis,QGval,Human,13,5.0
分析,Analysis,QGval,Human,14,5.0
分析,Analysis,QGval,Human,15,4.9523809523809526
分析,Analysis,QGval,Human,16,5.0
分析,Analysis,QGval,Human,17,4.9523809523809526
分析,Analysis,QGval,Human,18,4.904761904761905
分析,Analysis,QGval,MAS,1,5.0
分析,Analysis,QGval,MAS,2,5.0
分析,Analysis,QGval,MAS,3,5.0
分析,Analysis,QGval,MAS,4,4.80952380952381
分析,Analysis,QGval,MAS,5,4.904761904761905
分析,Analysis,QGval,MAS,6,4.857142857142858
分析,Analysis,QGval,MAS,7,4.904761904761905
分析,Analysis,QGval,MAS,8,4.904761904761905
分析,Analysis,QGval,MAS,9,5.0
分析,Analysis,QGval,MAS,10,5.0
分析,Analysis,QGval,MAS,11,4.904761904761905
分析,Analysis,QGval,MAS,12,4.904761904761905
分析,Analysis,QGval,MAS,13,4.904761904761905
分析,Analysis,QGval,MAS,14,4.904761904761905
分析,Analysis,QGval,MAS,15,4.904761904761905
分析,Analysis,QGval,MAS,16,4.904761904761905
分析,Analysis,QGval,MAS,17,4.904761904761905
分析,Analysis,QGval,MAS,18,4.904761904761905
分析,Analysis,ULM,Human,1,4.25
分析,Analysis,ULM,Human,2,4.291666666666667
分析,Analysis,ULM,Human,3,4.333333333333333
分析,Analysis,ULM,Human,4,4.104166666666667
分析,Analysis,ULM,Human,5,4.270833333333333
分析,Analysis,ULM,Human,6,4.229166666666667
分析,Analysis,ULM,Human,7,4.270833333333333
分析,Analysis,ULM,Human,8,4.229166666666667
分析,Analysis,ULM,Human,9,4.25
分析,Analysis,ULM,Human,10,4.229166666666667
分析,Analysis,ULM,Human,11,4.291666666666667
分析,Analysis,ULM,Human,12,4.333333333333333
分析,Analysis,ULM,Human,13,4.333333333333333
分析,Analysis,ULM,Human,14,4.333333333333333
分析,Analysis,ULM,Human,15,4.25
分析,Analysis,ULM,Human,16,4.25
分析,Analysis,ULM,Human,17,4.270833333333333
分析,Analysis,ULM,Human,18,4.229166666666667
分析,Analysis,ULM,MAS,1,4.3125
分析,Analysis,ULM,MAS,2,4.3125
分析,Analysis,ULM,MAS,3,4.125
分析,Analysis,ULM,MAS,4,4.229166666666667
分析,Analysis,ULM,MAS,5,4.270833333333333
分析,Analysis,ULM,MAS,6,4.333333333333333
分析,Analysis,ULM,MAS,7,4.333333333333333
分析,Analysis,ULM,MAS,8,4.291666666666667
分析,Analysis,ULM,MAS,9,4.354166666666667
分析,Analysis,ULM,MAS,10,4.354166666666667
分析,Analysis,ULM,MAS,11,4.333333333333333
分析,Analysis,ULM,MAS,12,4.125
分析,Analysis,ULM,MAS,13,4.125
分析,Analysis,ULM,MAS,14,4.125
分析,Analysis,ULM,MAS,15,4.083333333333333
分析,Analysis,ULM,MAS,16,4.083333333333333
分析,Analysis,ULM,MAS,17,4.125
分析,Analysis,ULM,MAS,18,4.125
