answer_key,answer_key_from_report,blueprint_cognitive_level,char_count,cognitive_level,difficulty,discrimination,flesch_reading_ease,fuzzywuzzy_ratio_max,has_vignette,header_item_type,item_id,item_type,llm_score_5_mean,llm_score_5_sd,llm_侧重性_mean,llm_公平性_mean,llm_反馈性_mean,llm_可解性_mean,llm_完整性_mean,llm_思维性_mean,llm_排他性_mean,llm_明确性_mean,llm_正确性_mean,llm_流畅性_mean,llm_目标性_mean,llm_答案解析专门评分_mean,llm_绝对性_mean,llm_综合性_mean,llm_迷惑性_mean,llm_防猜性_mean,machine_proxy_answer_validity_mean,machine_proxy_blueprint_relevance_mean,machine_proxy_cognitive_feedback_mean,machine_proxy_item_design_mean,machine_proxy_presentation_clarity_mean,machine_proxy_quality_score_mean,machine_proxy_quality_score_sd,n_machine_runs,n_responses,ngram_jaccard_max,paper,paper_item_no,qgeval_score_5_mean,qgeval_score_5_sd,qgeval_一致性_mean,qgeval_可回答性_mean,qgeval_流畅性_mean,qgeval_清晰度_mean,qgeval_相关性_mean,qgeval_答案一致性_mean,qgeval_简洁性_mean,screen_critical_defect_proxy,screen_major_defect_proxy,sentencebert_cosine_max,source_item_id,source_true,test_point,topic,question_text
D,D,application,100,application,0.92,0.2566840266064395,121.22000000000003,,1,A2,H011,A2,3.953125,0.05983919423477113,4.0,3.0,3.0,5.0,5.0,2.0,5.0,3.75,5.0,5.0,5.0,3.0,5.0,2.0,3.75,3.75,5.0,4.75,2.583333333333333,4.166666666666666,4.902777777777778,4.280555555555555,0.06871842709362783,4,50,,P,11,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,,11,Human,排尿功能障碍 - 尿失禁,Other,"患者女，30岁，2年前出现咳嗽打喷嚏时小便溢出，每次数滴，无法控制，行走、静息状态或日常生活中无明显溢尿。考虑什么诊断？
A. 真性尿失禁
B. 充溢性尿失禁
C. 急迫性尿失禁
D. 压力性尿失禁
E. 神经源性尿失禁"
E,E,application,139,application,0.88,0.521922161498262,-132.57999999999996,,1,A2,H012,A2,4.203125,0.05983919423477113,3.75,3.0,3.75,5.0,5.0,3.0,4.75,4.0,5.0,5.0,5.0,4.0,5.0,3.25,4.0,3.75,5.0,4.625,3.6666666666666665,4.25,4.958333333333333,4.5,0.04906533814626564,4,50,,P,12,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,4.75,5.0,5.0,0,0,,12,Human,泌尿系统梗阻 - 前列腺增生的治疗,Obstruction,"患者男，73岁，进行性排尿困难10年，加重2周，B超提示前列腺增大，残余尿400ml，双肾积水。血肌酐205μmol/L。最合适的治疗方案:
A. 观察等待
B. a受体阻滞剂
C. 联用a受体阻滞剂、5a-还原酶抑制剂
D. 行经尿道前列腺切除术
E. 留置导尿管引流尿液，待肾功能好转后择期手术"
B,B,application,73,application,0.84,0.43230840043337604,121.22000000000003,,1,A2,H013,A2,4.0,0.0,4.0,3.0,3.0,5.0,5.0,2.25,4.75,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,4.6875,2.6666666666666665,4.333333333333333,4.958333333333333,4.329166666666667,0.008333333333333304,4,50,,P,13,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,4.75,5.0,5.0,0,0,,13,Human,泌尿系统肿瘤 - 肾盂癌,Tumors,"患者男，56岁，间歇性全程无痛肉眼血尿2月余。静脉尿路造影可见右肾盂充盈缺损。首先考虑的疾病是:
A. 肾癌
B. 肾盂癌
C. 肾结核
D. 肾结石
E. 肾盂肾炎"
D,D,application,211,application,0.38,0.27897909173618984,111.07000000000002,,1,A2,H014,A2,4.203125,0.05983919423477113,3.75,3.0,4.0,5.0,5.0,3.0,4.75,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.75,4.0,5.0,4.625,3.6666666666666665,4.25,4.958333333333333,4.5,0.0638284738504227,4,50,,P,14,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,4.75,5.0,5.0,0,0,,14,Human,泌尿系统结石 - 并发症处理,Stones,"一名 46 岁男性患者，主诉左腰部疼痛持续 6 个月，伴有 1 周的高热症状。经过抗炎治疗后，症状未见缓解。左腰部有明显的压痛。患者有左肾绞痛和血尿病史。血液常规：白细胞计数 19.2×10^9/L，中性粒细胞占比 0.80。尿常规：白细胞（++++）。超声检查和腹部平片显示左肾上部输尿管结石，长 1.5 厘米，位于第四腰椎横突处，左肾严重积水。首选治疗方法为
A. 输尿管镜取石术
B. 经皮肾镜取石术
C. 体外冲击波碎石术
D. 肾造瘘术
E. 保守治疗"
A,A,application,91,application,0.86,0.3022578384983565,120.20500000000001,,1,A2,H015,A2,4.0,0.0,4.0,3.0,3.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,4.958333333333333,4.75,2.583333333333333,4.333333333333333,5.0,4.324999999999999,0.016666666666666607,4,50,,P,15,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,4.75,5.0,0,0,,15,Human,泌尿系统结石 - 治疗选择,Stones,"患者男,55岁,反复右侧腰背部绞痛, KUB示右肾结石,长径3.2cm,首选治疗为？
A. 经皮肾镜碎石取石
B. 经输尿管镜碎石取石
C. 体外冲击波碎石
D. 药物排石
E. 补液抗炎抗休克等对症治疗"
A,A,recall,46,knowledge,0.46,0.23184161390631666,121.22000000000003,,1,A1,H016,A1,3.875,0.05103103630798288,4.0,3.0,3.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,1.25,4.0,3.75,5.0,4.75,2.0625,4.25,4.958333333333333,4.204166666666667,0.06291528696058978,4,50,,P,16,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,4.75,5.0,5.0,5.0,0,0,,16,Human,泌尿系统梗阻 - 前列腺增生,Obstruction,"下列为前列腺增生患者储尿期症状的是？
A. 夜尿增多
B. 尿无力
C. 尿线变细
D. 尿不尽感
E. 尿等待"
C,C,recall,43,knowledge,0.66,0.4683783989562363,121.22000000000003,,0,A1,H017,A1,3.84375,0.03608439182435161,4.0,3.0,3.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,1.0,3.75,3.75,5.0,4.75,2.0,4.166666666666666,4.916666666666666,4.166666666666666,0.0430331482911936,4,50,,P,17,4.928571428571429,0.08247860988423247,5.0,5.0,5.0,4.75,5.0,5.0,4.75,0,0,,17,Human,泌尿系统肿瘤 - 治疗原则,Tumors,"内分泌治疗可用于治疗哪种肿瘤？
A. 膀胱癌
B. 肾上腺皮质癌
C. 前列腺癌
D. 睾丸癌
E. 肾癌"
C,C,application,199,application,0.62,0.34814012582423465,-555.5799999999999,,1,A2,H018,A2,4.234375,0.03125,4.0,3.0,4.0,5.0,5.0,3.25,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.75,3.75,5.0,4.75,3.75,4.166666666666666,4.958333333333333,4.525,0.031914236925211156,4,50,,P,18,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,,18,Human,肾上腺疾病,Tumors,"患者女，57岁，患有高血压病史17年，体检发现左侧肾上腺外支可见一直径约0.9cm的类圆形低密度影，病灶内密度均匀，增强后病灶中度强化，边缘光滑锐利，与周围组织分界清楚。查电解质示:钠145mmol/L，钾3.36mmol/L。查血浆醛固酮(立位)1080pmol/L，血浆肾素活性(立位)1.8ulU/ml。最可能的诊断是:
A. 嗜铬细胞瘤
B. 肾上腺皮质腺瘤
C. 醛固酮腺瘤
D. 肾细胞癌
E. 转移性肿瘤"
C,C,application,126,application,0.72,0.2236388942581261,121.22000000000003,,1,A2,H019,A2,4.078125,0.09375,4.0,3.0,3.75,5.0,4.5,2.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0,5.0,4.75,3.020833333333333,4.166666666666666,4.958333333333333,4.379166666666666,0.08753306253660383,4,50,,P,19,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,,19,Human,阴囊内容物疾病,Tumors,"患者男性，72岁，因“阴囊进行性增大五年""入院，余无明显不适。查体:阴囊呈椭圆形，7*10cm，压之无痛，张力较高，睾丸扪不清，透光试验(+)。平卧时阴囊缩小。下列诊断最可能的是?
A. 腹股沟斜疝
B. 睾丸癌
C. 交通性鞘膜积液
D. 睾丸鞘膜积液
E. 急性附睾炎"
A,A,recall,46,knowledge,0.68,0.3492363705962201,121.22000000000003,,0,A1,H020,A1,3.890625,0.07864410870073697,4.0,3.0,3.0,5.0,4.5,1.25,5.0,4.0,5.0,5.0,5.0,3.25,5.0,1.25,4.0,4.0,5.0,4.75,2.208333333333333,4.166666666666666,5.0,4.225,0.08221471437193717,4,50,,P,20,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,,20,Human,泌尿、男生殖系统感染,Infection,"泌尿系感染首选哪种抗生素?
A. 喹诺酮类
B. 大环内酯类
C. 磺胺类
D. β-内酰胺类
E. 氨基糖苷类"
E,E,application,90,application,0.3,0.3708365373949073,36.62000000000003,,1,A2,H021,A2,4.0,0.0,4.0,3.0,3.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,3.25,5.0,2.0,3.75,4.0,4.958333333333333,4.75,2.645833333333333,4.25,5.0,4.320833333333333,0.015957118462605578,4,50,,P,21,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,4.75,5.0,0,0,,21,Human,泌尿系统肿瘤 - 肾肿瘤,Tumors,"患者68岁男性，发现血尿2周，检查泌尿系彩超提示右肾322cm实质性肿块，为进一步明确诊断，暂不考虑的检查是
A. 腹部X线平片
B. IVU
C. 肾动脉造影
D. CT
E. 红细胞相差显微镜检查"
B,B,application,94,application,0.74,0.338720784529023,121.22000000000003,,1,A2,H022,A2,3.984375,0.07864410870073697,4.0,3.0,3.0,5.0,5.0,2.0,4.75,4.0,5.0,5.0,5.0,3.25,5.0,2.0,4.0,3.75,5.0,4.75,2.645833333333333,4.25,4.958333333333333,4.320833333333333,0.06291528696058978,4,50,,P,22,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,,22,Human,泌尿系统(含男性生殖系统)-肾功能不全-慢性肾脏病的治疗,Other,"女，63岁，主诉双下肢水肿6个月，影像学检查结果提示双肾缩小。对于该患者的治疗，下列哪项措施错误
A. 控制摄入蛋白质
B. 行双肾部分切除术
C. 控制摄入糖
D. 使用呋塞米药物
E. 使用糖皮质激素药物"
D,D,application,121,application,0.82,0.4393891851329392,-132.57999999999996,,1,A2,H023,A2,4.09375,0.0625,3.75,3.0,4.0,5.0,5.0,2.0,4.75,4.0,5.0,5.0,5.0,4.0,5.0,2.25,4.0,3.75,5.0,4.6875,3.145833333333333,4.25,4.916666666666667,4.3999999999999995,0.06666666666666643,4,50,,P,23,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,4.75,5.0,5.0,5.0,0,0,,23,Human,泌尿系统（含男性生殖系统）-泌尿系统外伤-肾外伤的诊断,Trauma,"患者，女，33岁。主诉左腰部受伤后出现腰痛。体检：血压119/88mmHg，P82次/分，左肾区叩痛，腹膜刺激征（-）；尿常规检查：RBC5～10个/HP。该患者最可能的诊断是
A. 肾部分裂伤
B. 肾全层裂伤
C. 肾蒂损伤
D. 肾挫伤
E. 自发性肾破裂"
D,D,application,166,application,0.5,0.2189714587783475,36.62000000000003,,1,A2,H024,A2,4.203125,0.05983919423477113,4.0,3.0,4.0,5.0,5.0,3.0,4.75,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.75,3.75,5.0,4.75,3.6666666666666665,4.166666666666666,4.958333333333333,4.508333333333333,0.04999999999999982,4,50,,P,24,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,,24,Human,泌尿系统（含男性生殖系统）-尿路结石-输尿管结石的治疗,Stones,"男，42岁，主诉突发双侧腰腹部疼痛1天。既往有肾结石病史。查体：双侧肾叩击痛，右下腹压痛，余无阳性体征。肌酐262μmol/L。CT提示：右侧输尿管下段1.2cm结石，右侧输尿管上端扩张，左肾直径1.5cm结石。首选的治疗措施为
A. 左侧经皮肾镜碎石术
B. 双侧经皮肾造瘘取石术
C. 右侧输尿管切开取石术
D. 经输尿管镜取石
E. 血液透析治疗"
C,C,application,98,application,0.54,0.06151068529688447,121.22000000000003,,1,A2,H025,A2,3.984375,0.03125,3.75,3.0,3.0,5.0,5.0,2.25,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,3.75,4.0,5.0,4.6875,2.6666666666666665,4.25,4.958333333333333,4.3125,0.03695592971013895,4,50,,P,25,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,,25,Human,泌尿系统（含男性生殖系统）-泌尿、男性生殖系统先天性畸形及其他疾病-精索静脉曲张的概述,Andrology/Pelvic floor,"男，28岁，不孕4年，查体：左侧阴囊下垂，左侧睾丸较右侧小，平静状态下可以摸到，另见精索静脉曲张呈海蛇团状，功能检查示弱小无精症，该患者精索静脉曲张分度为
A. 一度
B. 二度
C. 三度
D. 四度
E. 亚临床"
A,A,analysis,51,reasoning,0.86,0.39152373495275483,121.22000000000003,,1,A3,H026,A3/A4,4.234375,0.03125,4.0,3.0,4.0,5.0,5.0,3.0,5.0,3.75,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.958333333333333,4.75,3.6666666666666665,4.333333333333333,4.902777777777778,4.522222222222222,0.03685138655950431,4,50,,P,26,4.928571428571429,0.08247860988423247,5.0,5.0,5.0,5.0,5.0,4.75,4.75,0,0,,26,Human,泌尿系统（含男性生殖系统）-泌尿、男性生殖系统先天性畸形及其他疾病-鞘膜积液的诊断与鉴别诊断,Tumors,"(1) 该患者最可能的诊断为
A. 睾丸鞘膜积液
B. 精索鞘膜积液
C. 睾丸肿瘤
D. 腹股沟斜疝
E. 交通性鞘膜积液"
D,D,analysis,60,reasoning,0.46,0.3383448751190099,121.22000000000003,,1,A3,H027,A3/A4,4.234375,0.03125,4.0,3.0,4.0,5.0,5.0,3.0,5.0,3.75,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.958333333333333,4.75,3.6666666666666665,4.333333333333333,4.902777777777778,4.522222222222222,0.03685138655950431,4,50,,P,27,4.928571428571429,0.08247860988423247,5.0,5.0,5.0,5.0,5.0,4.75,4.75,0,0,,26,Human,泌尿系统（含男性生殖系统）-泌尿、男性生殖系统先天性畸形及其他疾病-鞘膜积液的诊断与鉴别诊断,Andrology/Pelvic floor,"(2) 对于该患者首选的治疗
A. 右侧斜疝修补术
B. 右侧睾丸切除术
C. 右侧鞘膜突高位结扎术
D. 右侧鞘膜睾丸翻转术
E. 穿刺抽液"
E,E,analysis,42,reasoning,0.4,0.143163406710265,-301.78,,1,A4,H028,A3/A4,4.234375,0.03125,3.75,3.0,4.0,5.0,5.0,3.0,5.0,3.75,5.0,5.0,5.0,4.0,5.0,3.25,4.0,4.0,5.0,4.6875,3.7291666666666665,4.333333333333333,4.902777777777778,4.530555555555555,0.042673031932603224,4,50,,P,28,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,,28,Human,泌尿系统(含男性生殖系统)-泌尿、男性生殖系统肿瘤-肾肿瘤-肾血管平滑肌脂肪瘤的临床表现,Tumors,"(1) 考虑患者出血的原因最可能的是
A. 肾囊肿
B. 多囊肾
C. 肾癌
D. 肾积水
E. 肾错构瘤"
C,C,analysis,48,reasoning,0.28,0.23517870887698444,-301.78,,0,A4,H029,A3/A4,4.234375,0.03125,3.75,3.0,4.0,5.0,5.0,3.0,5.0,3.75,5.0,5.0,5.0,4.0,5.0,3.25,4.0,4.0,5.0,4.6875,3.7291666666666665,4.333333333333333,4.902777777777778,4.530555555555555,0.042673031932603224,4,50,,P,29,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,,28,Human,泌尿系统(含男性生殖系统)-泌尿、男性生殖系统肿瘤-肾肿瘤-肾血管平滑肌脂肪瘤的临床表现,Tumors,"(2) 为求明确诊断，进一步应行哪项检查
A. 尿路造影
B. 穿刺活检
C. MRI
D. 肾动脉造影
E. KUB"
D,D,analysis,45,reasoning,0.22,-0.028237732041746216,-301.78,,1,A4,H030,A3/A4,4.234375,0.03125,3.75,3.0,4.0,5.0,5.0,3.0,5.0,3.75,5.0,5.0,5.0,4.0,5.0,3.25,4.0,4.0,5.0,4.6875,3.7291666666666665,4.333333333333333,4.902777777777778,4.530555555555555,0.042673031932603224,4,50,,P,30,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,,28,Human,泌尿系统(含男性生殖系统)-泌尿、男性生殖系统肿瘤-肾肿瘤-肾血管平滑肌脂肪瘤的临床表现,Tumors,"(3) 对该患者首选的治疗措施是
A. 血肿去除手术
B. 肾部分切除
C. 肾切除
D. 介入治疗
E. 观察"
B,B,analysis,53,reasoning,0.72,0.33428088055713,121.22000000000003,,1,A3,H031,A3/A4,4.1875,0.05103103630798288,4.0,3.0,3.75,5.0,5.0,3.0,5.0,3.75,5.0,5.0,5.0,4.0,5.0,3.0,3.75,3.75,5.0,4.75,3.6041666666666665,4.166666666666666,4.944444444444445,4.493055555555555,0.04851180332381366,4,50,,P,31,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,,31,Human,泌尿系统(含男性生殖系统)-泌尿系统外伤-肾外伤的诊断,Trauma,"(1) 为了解患者新出现的右腰部包块来源，应首选的检查是
A. 同位素肾图
B. B超
C. KUB
D. 血常规
E. 尿常规"
A,A,analysis,48,reasoning,0.92,0.5064539938559951,121.22000000000003,,1,A3,H032,A3/A4,4.1875,0.05103103630798288,4.0,3.0,3.75,5.0,5.0,3.0,5.0,3.75,5.0,5.0,5.0,4.0,5.0,3.0,3.75,3.75,5.0,4.75,3.6041666666666665,4.166666666666666,4.944444444444445,4.493055555555555,0.04851180332381366,4,50,,P,32,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,,31,Human,泌尿系统(含男性生殖系统)-泌尿系统外伤-肾外伤的诊断,Infection,"(2) 该患者下一步最恰当的治疗措施是
A. 抗休克同时准备手术
B. 输血
C. 抗感染
D. 输液
E. 继续观察"
