source,cognitive_level,item_seq,metric,score,score_scale
Human,应用,30,QGval,5.0,mean of component scores standardized to 5 points
Human,应用,30,ULM,4.203125,mean of component scores standardized to 5 points
Human,应用,31,QGval,5.0,mean of component scores standardized to 5 points
Human,应用,31,ULM,4.208333333333333,mean of component scores standardized to 5 points
Human,应用,32,QGval,4.857142857142857,mean of component scores standardized to 5 points
Human,应用,32,ULM,4.1875,mean of component scores standardized to 5 points
Human,应用,33,QGval,4.714285714285714,mean of component scores standardized to 5 points
Human,应用,33,ULM,4.25,mean of component scores standardized to 5 points
Human,应用,34,QGval,5.0,mean of component scores standardized to 5 points
Human,应用,34,ULM,4.229166666666667,mean of component scores standardized to 5 points
Human,应用,35,QGval,5.0,mean of component scores standardized to 5 points
Human,应用,35,ULM,4.494791666666667,mean of component scores standardized to 5 points
Human,应用,36,QGval,5.0,mean of component scores standardized to 5 points
Human,应用,36,ULM,4.25,mean of component scores standardized to 5 points
Human,应用,37,QGval,4.9523809523809526,mean of component scores standardized to 5 points
Human,应用,37,ULM,4.583333333333333,mean of component scores standardized to 5 points
Human,应用,38,QGval,5.0,mean of component scores standardized to 5 points
Human,应用,38,ULM,4.255208333333333,mean of component scores standardized to 5 points
Human,应用,39,QGval,4.9523809523809526,mean of component scores standardized to 5 points
Human,应用,39,ULM,4.515625,mean of component scores standardized to 5 points
Human,应用,40,QGval,5.0,mean of component scores standardized to 5 points
Human,应用,40,ULM,4.1875,mean of component scores standardized to 5 points
Human,应用,41,QGval,4.904761904761904,mean of component scores standardized to 5 points
Human,应用,41,ULM,4.1875,mean of component scores standardized to 5 points
Human,应用,42,QGval,5.0,mean of component scores standardized to 5 points
Human,应用,42,ULM,4.416666666666667,mean of component scores standardized to 5 points
Human,应用,43,QGval,4.904761904761904,mean of component scores standardized to 5 points
Human,应用,43,ULM,4.3125,mean of component scores standardized to 5 points
Human,应用,44,QGval,4.904761904761904,mean of component scores standardized to 5 points
Human,应用,44,ULM,4.536458333333333,mean of component scores standardized to 5 points
Human,应用,45,QGval,5.0,mean of component scores standardized to 5 points
Human,应用,45,ULM,4.286458333333333,mean of component scores standardized to 5 points
Human,应用,46,QGval,4.904761904761905,mean of component scores standardized to 5 points
Human,应用,46,ULM,4.291666666666667,mean of component scores standardized to 5 points
Human,应用,47,QGval,4.9523809523809526,mean of component scores standardized to 5 points
Human,应用,47,ULM,4.411458333333333,mean of component scores standardized to 5 points
Human,应用,48,QGval,4.857142857142857,mean of component scores standardized to 5 points
Human,应用,48,ULM,4.307291666666667,mean of component scores standardized to 5 points
Human,应用,49,QGval,5.0,mean of component scores standardized to 5 points
Human,应用,49,ULM,4.411458333333333,mean of component scores standardized to 5 points
Human,应用,50,QGval,4.857142857142857,mean of component scores standardized to 5 points
Human,应用,50,ULM,4.375,mean of component scores standardized to 5 points
Human,应用,51,QGval,5.0,mean of component scores standardized to 5 points
Human,应用,51,ULM,4.369791666666667,mean of component scores standardized to 5 points
Human,应用,52,QGval,5.0,mean of component scores standardized to 5 points
Human,应用,52,ULM,4.354166666666667,mean of component scores standardized to 5 points
Human,理解,11,QGval,4.904761904761904,mean of component scores standardized to 5 points
Human,理解,11,ULM,4.364583333333333,mean of component scores standardized to 5 points
Human,理解,12,QGval,5.0,mean of component scores standardized to 5 points
Human,理解,12,ULM,4.411458333333333,mean of component scores standardized to 5 points
Human,理解,13,QGval,5.0,mean of component scores standardized to 5 points
Human,理解,13,ULM,4.4375,mean of component scores standardized to 5 points
Human,理解,14,QGval,4.9523809523809526,mean of component scores standardized to 5 points
Human,理解,14,ULM,4.229166666666667,mean of component scores standardized to 5 points
Human,理解,15,QGval,5.0,mean of component scores standardized to 5 points
Human,理解,15,ULM,4.229166666666667,mean of component scores standardized to 5 points
Human,理解,16,QGval,5.0,mean of component scores standardized to 5 points
Human,理解,16,ULM,4.229166666666667,mean of component scores standardized to 5 points
Human,理解,17,QGval,5.0,mean of component scores standardized to 5 points
Human,理解,17,ULM,4.395833333333333,mean of component scores standardized to 5 points
Human,理解,18,QGval,5.0,mean of component scores standardized to 5 points
Human,理解,18,ULM,4.442708333333333,mean of component scores standardized to 5 points
Human,理解,19,QGval,5.0,mean of component scores standardized to 5 points
Human,理解,19,ULM,4.46875,mean of component scores standardized to 5 points
Human,理解,20,QGval,5.0,mean of component scores standardized to 5 points
Human,理解,20,ULM,4.348958333333333,mean of component scores standardized to 5 points
Human,理解,21,QGval,4.9523809523809526,mean of component scores standardized to 5 points
Human,理解,21,ULM,4.078125,mean of component scores standardized to 5 points
Human,理解,22,QGval,5.0,mean of component scores standardized to 5 points
Human,理解,22,ULM,4.255208333333333,mean of component scores standardized to 5 points
Human,理解,23,QGval,4.9523809523809526,mean of component scores standardized to 5 points
Human,理解,23,ULM,4.088541666666667,mean of component scores standardized to 5 points
Human,理解,24,QGval,5.0,mean of component scores standardized to 5 points
Human,理解,24,ULM,4.302083333333333,mean of component scores standardized to 5 points
Human,理解,25,QGval,4.904761904761904,mean of component scores standardized to 5 points
Human,理解,25,ULM,4.25,mean of component scores standardized to 5 points
Human,理解,26,QGval,4.904761904761904,mean of component scores standardized to 5 points
Human,理解,26,ULM,4.229166666666667,mean of component scores standardized to 5 points
Human,理解,27,QGval,4.9523809523809526,mean of component scores standardized to 5 points
Human,理解,27,ULM,4.338541666666667,mean of component scores standardized to 5 points
Human,记忆,1,QGval,4.857142857142857,mean of component scores standardized to 5 points
Human,记忆,1,ULM,4.213541666666667,mean of component scores standardized to 5 points
Human,记忆,2,QGval,4.857142857142857,mean of component scores standardized to 5 points
Human,记忆,2,ULM,3.8854166666666665,mean of component scores standardized to 5 points
Human,记忆,3,QGval,4.904761904761904,mean of component scores standardized to 5 points
Human,记忆,3,ULM,4.09375,mean of component scores standardized to 5 points
Human,记忆,4,QGval,4.904761904761904,mean of component scores standardized to 5 points
Human,记忆,4,ULM,4.114583333333333,mean of component scores standardized to 5 points
Human,记忆,5,QGval,4.904761904761904,mean of component scores standardized to 5 points
Human,记忆,5,ULM,4.135416666666667,mean of component scores standardized to 5 points
Human,记忆,6,QGval,4.666666666666667,mean of component scores standardized to 5 points
Human,记忆,6,ULM,3.8385416666666665,mean of component scores standardized to 5 points
Human,记忆,7,QGval,4.9523809523809526,mean of component scores standardized to 5 points
Human,记忆,7,ULM,4.052083333333333,mean of component scores standardized to 5 points
Human,记忆,8,QGval,5.0,mean of component scores standardized to 5 points
Human,记忆,8,ULM,4.239583333333333,mean of component scores standardized to 5 points
Human,记忆,9,QGval,4.9523809523809526,mean of component scores standardized to 5 points
Human,记忆,9,ULM,4.098958333333333,mean of component scores standardized to 5 points
Human,记忆,10,QGval,4.9523809523809526,mean of component scores standardized to 5 points
Human,记忆,10,ULM,4.140625,mean of component scores standardized to 5 points
MAS,分析,53,QGval,5.0,mean of component scores standardized to 5 points
MAS,分析,53,ULM,4.53125,mean of component scores standardized to 5 points
MAS,分析,54,QGval,5.0,mean of component scores standardized to 5 points
MAS,分析,54,ULM,4.536458333333333,mean of component scores standardized to 5 points
MAS,分析,55,QGval,5.0,mean of component scores standardized to 5 points
MAS,分析,55,ULM,4.328125,mean of component scores standardized to 5 points
MAS,分析,56,QGval,4.809523809523809,mean of component scores standardized to 5 points
MAS,分析,56,ULM,4.432291666666667,mean of component scores standardized to 5 points
MAS,分析,57,QGval,4.904761904761904,mean of component scores standardized to 5 points
MAS,分析,57,ULM,4.479166666666667,mean of component scores standardized to 5 points
MAS,分析,58,QGval,4.857142857142857,mean of component scores standardized to 5 points
MAS,分析,58,ULM,4.557291666666667,mean of component scores standardized to 5 points
MAS,分析,59,QGval,4.904761904761904,mean of component scores standardized to 5 points
MAS,分析,59,ULM,4.557291666666667,mean of component scores standardized to 5 points
MAS,分析,60,QGval,4.904761904761904,mean of component scores standardized to 5 points
MAS,分析,60,ULM,4.510416666666667,mean of component scores standardized to 5 points
MAS,分析,61,QGval,5.0,mean of component scores standardized to 5 points
MAS,分析,61,ULM,4.583333333333333,mean of component scores standardized to 5 points
MAS,分析,62,QGval,5.0,mean of component scores standardized to 5 points
MAS,分析,62,ULM,4.583333333333333,mean of component scores standardized to 5 points
MAS,分析,63,QGval,4.904761904761904,mean of component scores standardized to 5 points
MAS,分析,63,ULM,4.557291666666667,mean of component scores standardized to 5 points
MAS,分析,64,QGval,4.904761904761904,mean of component scores standardized to 5 points
MAS,分析,64,ULM,4.333333333333333,mean of component scores standardized to 5 points
MAS,分析,65,QGval,4.904761904761904,mean of component scores standardized to 5 points
MAS,分析,65,ULM,4.333333333333333,mean of component scores standardized to 5 points
MAS,分析,66,QGval,4.904761904761904,mean of component scores standardized to 5 points
MAS,分析,66,ULM,4.333333333333333,mean of component scores standardized to 5 points
MAS,分析,67,QGval,4.904761904761905,mean of component scores standardized to 5 points
MAS,分析,67,ULM,4.296875,mean of component scores standardized to 5 points
MAS,分析,68,QGval,4.904761904761905,mean of component scores standardized to 5 points
MAS,分析,68,ULM,4.296875,mean of component scores standardized to 5 points
MAS,分析,69,QGval,4.904761904761905,mean of component scores standardized to 5 points
MAS,分析,69,ULM,4.338541666666667,mean of component scores standardized to 5 points
MAS,分析,70,QGval,4.904761904761905,mean of component scores standardized to 5 points
MAS,分析,70,ULM,4.338541666666667,mean of component scores standardized to 5 points
MAS,应用,28,QGval,5.0,mean of component scores standardized to 5 points
MAS,应用,28,ULM,4.494791666666667,mean of component scores standardized to 5 points
MAS,应用,29,QGval,4.904761904761905,mean of component scores standardized to 5 points
MAS,应用,29,ULM,4.515625,mean of component scores standardized to 5 points
MAS,应用,30,QGval,5.0,mean of component scores standardized to 5 points
MAS,应用,30,ULM,4.640625,mean of component scores standardized to 5 points
MAS,应用,31,QGval,5.0,mean of component scores standardized to 5 points
MAS,应用,31,ULM,4.578125,mean of component scores standardized to 5 points
MAS,应用,32,QGval,5.0,mean of component scores standardized to 5 points
MAS,应用,32,ULM,4.619791666666667,mean of component scores standardized to 5 points
MAS,应用,33,QGval,4.857142857142857,mean of component scores standardized to 5 points
MAS,应用,33,ULM,4.541666666666667,mean of component scores standardized to 5 points
MAS,应用,34,QGval,5.0,mean of component scores standardized to 5 points
MAS,应用,34,ULM,4.609375,mean of component scores standardized to 5 points
MAS,应用,35,QGval,4.9523809523809526,mean of component scores standardized to 5 points
MAS,应用,35,ULM,4.46875,mean of component scores standardized to 5 points
MAS,应用,36,QGval,5.0,mean of component scores standardized to 5 points
MAS,应用,36,ULM,4.546875,mean of component scores standardized to 5 points
MAS,应用,37,QGval,4.809523809523809,mean of component scores standardized to 5 points
MAS,应用,37,ULM,4.515625,mean of component scores standardized to 5 points
MAS,应用,38,QGval,4.9523809523809526,mean of component scores standardized to 5 points
MAS,应用,38,ULM,4.296875,mean of component scores standardized to 5 points
MAS,应用,39,QGval,4.9523809523809526,mean of component scores standardized to 5 points
MAS,应用,39,ULM,4.317708333333333,mean of component scores standardized to 5 points
MAS,应用,40,QGval,5.0,mean of component scores standardized to 5 points
MAS,应用,40,ULM,4.515625,mean of component scores standardized to 5 points
MAS,应用,41,QGval,5.0,mean of component scores standardized to 5 points
MAS,应用,41,ULM,4.213541666666667,mean of component scores standardized to 5 points
MAS,应用,42,QGval,5.0,mean of component scores standardized to 5 points
MAS,应用,42,ULM,4.25,mean of component scores standardized to 5 points
MAS,应用,43,QGval,5.0,mean of component scores standardized to 5 points
MAS,应用,43,ULM,4.34375,mean of component scores standardized to 5 points
MAS,应用,44,QGval,5.0,mean of component scores standardized to 5 points
MAS,应用,44,ULM,4.609375,mean of component scores standardized to 5 points
MAS,应用,45,QGval,5.0,mean of component scores standardized to 5 points
MAS,应用,45,ULM,4.348958333333333,mean of component scores standardized to 5 points
MAS,应用,46,QGval,5.0,mean of component scores standardized to 5 points
MAS,应用,46,ULM,4.255208333333333,mean of component scores standardized to 5 points
MAS,应用,47,QGval,4.9523809523809526,mean of component scores standardized to 5 points
MAS,应用,47,ULM,4.088541666666667,mean of component scores standardized to 5 points
MAS,应用,48,QGval,5.0,mean of component scores standardized to 5 points
MAS,应用,48,ULM,4.291666666666667,mean of component scores standardized to 5 points
MAS,应用,49,QGval,4.571428571428572,mean of component scores standardized to 5 points
MAS,应用,49,ULM,4.317708333333333,mean of component scores standardized to 5 points
MAS,应用,50,QGval,4.904761904761905,mean of component scores standardized to 5 points
MAS,应用,50,ULM,4.432291666666667,mean of component scores standardized to 5 points
MAS,应用,51,QGval,5.0,mean of component scores standardized to 5 points
MAS,应用,51,ULM,4.328125,mean of component scores standardized to 5 points
MAS,应用,52,QGval,4.904761904761905,mean of component scores standardized to 5 points
MAS,应用,52,ULM,4.390625,mean of component scores standardized to 5 points
MAS,理解,11,QGval,4.9523809523809526,mean of component scores standardized to 5 points
MAS,理解,11,ULM,4.479166666666667,mean of component scores standardized to 5 points
MAS,理解,12,QGval,5.0,mean of component scores standardized to 5 points
MAS,理解,12,ULM,4.479166666666667,mean of component scores standardized to 5 points
MAS,理解,13,QGval,5.0,mean of component scores standardized to 5 points
MAS,理解,13,ULM,4.369791666666667,mean of component scores standardized to 5 points
MAS,理解,14,QGval,5.0,mean of component scores standardized to 5 points
MAS,理解,14,ULM,4.421875,mean of component scores standardized to 5 points
MAS,理解,15,QGval,5.0,mean of component scores standardized to 5 points
MAS,理解,15,ULM,4.421875,mean of component scores standardized to 5 points
MAS,理解,16,QGval,5.0,mean of component scores standardized to 5 points
MAS,理解,16,ULM,4.401041666666667,mean of component scores standardized to 5 points
MAS,理解,17,QGval,4.9523809523809526,mean of component scores standardized to 5 points
MAS,理解,17,ULM,4.171875,mean of component scores standardized to 5 points
MAS,理解,18,QGval,5.0,mean of component scores standardized to 5 points
MAS,理解,18,ULM,4.28125,mean of component scores standardized to 5 points
MAS,理解,19,QGval,5.0,mean of component scores standardized to 5 points
MAS,理解,19,ULM,4.229166666666667,mean of component scores standardized to 5 points
MAS,理解,20,QGval,5.0,mean of component scores standardized to 5 points
MAS,理解,20,ULM,4.317708333333333,mean of component scores standardized to 5 points
MAS,理解,21,QGval,5.0,mean of component scores standardized to 5 points
MAS,理解,21,ULM,4.625,mean of component scores standardized to 5 points
MAS,理解,22,QGval,5.0,mean of component scores standardized to 5 points
MAS,理解,22,ULM,4.619791666666667,mean of component scores standardized to 5 points
MAS,理解,23,QGval,4.9523809523809526,mean of component scores standardized to 5 points
MAS,理解,23,ULM,4.192708333333333,mean of component scores standardized to 5 points
MAS,理解,24,QGval,4.9523809523809526,mean of component scores standardized to 5 points
MAS,理解,24,ULM,4.359375,mean of component scores standardized to 5 points
MAS,理解,25,QGval,5.0,mean of component scores standardized to 5 points
MAS,理解,25,ULM,4.213541666666667,mean of component scores standardized to 5 points
MAS,理解,26,QGval,5.0,mean of component scores standardized to 5 points
MAS,理解,26,ULM,4.234375,mean of component scores standardized to 5 points
MAS,理解,27,QGval,5.0,mean of component scores standardized to 5 points
MAS,理解,27,ULM,4.286458333333333,mean of component scores standardized to 5 points
MAS,记忆,1,QGval,5.0,mean of component scores standardized to 5 points
MAS,记忆,1,ULM,4.260416666666667,mean of component scores standardized to 5 points
MAS,记忆,2,QGval,5.0,mean of component scores standardized to 5 points
MAS,记忆,2,ULM,4.03125,mean of component scores standardized to 5 points
MAS,记忆,3,QGval,5.0,mean of component scores standardized to 5 points
MAS,记忆,3,ULM,4.338541666666667,mean of component scores standardized to 5 points
MAS,记忆,4,QGval,5.0,mean of component scores standardized to 5 points
MAS,记忆,4,ULM,4.21875,mean of component scores standardized to 5 points
MAS,记忆,5,QGval,5.0,mean of component scores standardized to 5 points
MAS,记忆,5,ULM,4.09375,mean of component scores standardized to 5 points
MAS,记忆,6,QGval,5.0,mean of component scores standardized to 5 points
MAS,记忆,6,ULM,4.25,mean of component scores standardized to 5 points
MAS,记忆,7,QGval,4.9523809523809526,mean of component scores standardized to 5 points
MAS,记忆,7,ULM,4.213541666666667,mean of component scores standardized to 5 points
MAS,记忆,8,QGval,4.9523809523809526,mean of component scores standardized to 5 points
MAS,记忆,8,ULM,4.119791666666667,mean of component scores standardized to 5 points
MAS,记忆,9,QGval,4.9523809523809526,mean of component scores standardized to 5 points
MAS,记忆,9,ULM,4.135416666666667,mean of component scores standardized to 5 points
MAS,记忆,10,QGval,4.9523809523809526,mean of component scores standardized to 5 points
MAS,记忆,10,ULM,4.135416666666667,mean of component scores standardized to 5 points
