item_id,machine_proxy_answer_validity_mean,machine_proxy_blueprint_relevance_mean,machine_proxy_cognitive_feedback_mean,machine_proxy_item_design_mean,machine_proxy_presentation_clarity_mean,machine_proxy_quality_score_mean,machine_proxy_quality_score_sd,n_machine_runs,qgeval_score_5_mean,qgeval_score_5_sd,qgeval_一致性_mean,qgeval_可回答性_mean,qgeval_流畅性_mean,qgeval_清晰度_mean,qgeval_相关性_mean,qgeval_答案一致性_mean,qgeval_简洁性_mean,screen_critical_defect_proxy,screen_major_defect_proxy,source_true,ulm_score_5_mean,ulm_score_5_sd,ulm_侧重性_mean,ulm_公平性_mean,ulm_反馈性_mean,ulm_可解性_mean,ulm_完整性_mean,ulm_思维性_mean,ulm_排他性_mean,ulm_明确性_mean,ulm_正确性_mean,ulm_流畅性_mean,ulm_目标性_mean,ulm_答案解析专门评分_mean,ulm_绝对性_mean,ulm_综合性_mean,ulm_迷惑性_mean,ulm_防猜性_mean
M011,5.0,4.75,4.3125,4.333333333333333,4.791666666666666,4.637499999999999,0.02373334373699349,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,4.75,5.0,5.0,5.0,0,0,MAS,4.34375,0.03608439182435161,4.0,3.0,4.0,5.0,5.0,4.0,5.0,3.25,5.0,5.0,5.0,4.25,5.0,4.0,4.0,4.0
M012,5.0,4.75,3.6666666666666665,4.583333333333334,4.75,4.550000000000001,0.01571348402636725,4,4.928571428571429,0.08247860988423247,5.0,5.0,5.0,4.75,5.0,5.0,4.75,0,0,MAS,4.25,0.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,3.25,5.0,5.0,5.0,4.0,5.0,3.0,4.75,4.0
M013,5.0,4.75,3.6666666666666665,4.916666666666667,4.791666666666667,4.625,0.04746668747398636,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,MAS,4.3125,0.05103103630798288,4.0,3.0,3.75,5.0,5.0,3.0,5.0,3.25,5.0,5.0,5.0,4.0,5.0,3.25,5.0,4.75
M014,5.0,4.75,3.8541666666666665,4.25,4.652777777777779,4.501388888888889,0.06579288490181649,4,4.892857142857142,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.25,0,0,MAS,4.21875,0.0625,4.0,3.0,3.75,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,3.75
M015,5.0,4.4375,2.770833333333333,4.166666666666666,4.611111111111112,4.197222222222222,0.06735753140545661,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,4.75,5.0,5.0,0,0,MAS,3.828125,0.05983919423477113,4.0,3.0,3.75,5.0,5.0,2.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,1.0,3.75,3.75
M016,4.958333333333333,4.375,2.9166666666666665,4.25,4.611111111111112,4.222222222222222,0.030429030972509444,4,4.928571428571429,0.1428571428571428,5.0,5.0,5.0,5.0,4.75,4.75,5.0,0,0,MAS,3.859375,0.05983919423477113,3.75,3.0,4.0,5.0,5.0,2.25,4.0,3.0,5.0,5.0,4.0,4.0,5.0,1.0,3.75,4.0
M017,5.0,4.4375,2.0625,3.833333333333333,4.736111111111111,4.013888888888889,0.11262852740396281,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,4.75,5.0,5.0,0,0,MAS,3.65625,0.10825317547305482,4.0,3.0,3.0,5.0,3.5,1.0,4.75,3.0,5.0,5.0,4.0,3.0,5.0,1.25,4.0,4.0
M018,5.0,4.25,2.833333333333333,4.0,4.569444444444445,4.1305555555555555,0.016666666666666163,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,4.75,5.0,5.0,5.0,0,0,MAS,3.75,0.0,3.0,3.0,4.0,5.0,5.0,2.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,1.0,3.0,4.0
M019,5.0,4.5,2.833333333333333,4.166666666666666,4.611111111111112,4.222222222222221,0.038490017945975424,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,MAS,3.84375,0.03608439182435161,4.0,3.0,4.0,5.0,5.0,2.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,1.0,3.75,3.75
M020,5.0,4.6875,3.1666666666666665,3.9166666666666665,4.736111111111111,4.301388888888889,0.02846375212766545,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,MAS,3.96875,0.03608439182435161,3.75,3.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,3.75
M021,5.0,4.75,4.3125,4.083333333333333,4.736111111111111,4.576388888888889,0.08093779046851907,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,MAS,4.28125,0.0625,4.0,3.0,4.0,5.0,4.5,4.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.25,4.0,3.75
M022,4.958333333333333,4.5,3.1041666666666665,4.25,4.569444444444445,4.276388888888889,0.05672382737961684,4,4.928571428571429,0.1428571428571428,5.0,5.0,5.0,5.0,5.0,4.75,4.75,0,0,MAS,3.90625,0.0625,4.0,3.0,3.75,5.0,5.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,1.0,3.75,4.0
M023,5.0,4.5,3.1666666666666665,3.75,4.777777777777778,4.238888888888889,0.0827759134763964,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,MAS,3.90625,0.08068715304598785,4.0,3.0,3.75,5.0,3.5,2.25,5.0,3.0,5.0,5.0,4.0,4.25,5.0,2.0,3.75,4.0
M024,5.0,4.75,2.5625,4.333333333333333,4.569444444444445,4.243055555555555,0.0416666666666669,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,4.75,5.0,5.0,5.0,0,0,MAS,3.890625,0.05983919423477113,4.0,3.0,3.75,5.0,5.0,1.0,4.0,3.0,5.0,5.0,5.0,4.25,5.0,1.25,4.0,4.0
M025,5.0,4.75,3.9791666666666665,3.9166666666666665,4.694444444444445,4.468055555555555,0.05335936864527399,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,4.75,5.0,5.0,5.0,0,0,MAS,4.171875,0.07864410870073697,4.0,3.0,4.0,5.0,5.0,3.0,4.75,3.0,5.0,5.0,5.0,4.25,5.0,4.0,3.0,3.75
M026,5.0,4.75,4.25,4.166666666666666,4.736111111111111,4.580555555555556,0.08333333333333304,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,MAS,4.265625,0.09375,4.0,3.0,4.0,5.0,5.0,4.0,4.75,3.0,5.0,5.0,5.0,4.0,5.0,4.0,3.75,3.75
M027,5.0,4.75,4.25,4.166666666666666,4.736111111111111,4.580555555555556,0.08333333333333304,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,MAS,4.265625,0.09375,4.0,3.0,4.0,5.0,5.0,4.0,4.75,3.0,5.0,5.0,5.0,4.0,5.0,4.0,3.75,3.75
M028,5.0,4.75,4.25,4.166666666666666,4.736111111111111,4.580555555555556,0.08333333333333304,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,MAS,4.265625,0.09375,4.0,3.0,4.0,5.0,5.0,4.0,4.75,3.0,5.0,5.0,5.0,4.0,5.0,4.0,3.75,3.75
M029,4.958333333333333,5.0,3.333333333333333,3.75,4.791666666666667,4.366666666666667,0.01571348402636725,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,4.75,5.0,0,0,MAS,4.078125,0.03125,5.0,3.0,4.0,5.0,3.5,2.0,4.75,3.25,5.0,5.0,5.0,4.0,5.0,3.0,4.0,3.75
M030,4.958333333333333,5.0,3.333333333333333,3.75,4.791666666666667,4.366666666666667,0.01571348402636725,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,4.75,5.0,0,0,MAS,4.078125,0.03125,5.0,3.0,4.0,5.0,3.5,2.0,4.75,3.25,5.0,5.0,5.0,4.0,5.0,3.0,4.0,3.75
M031,4.958333333333333,5.0,3.333333333333333,3.75,4.791666666666667,4.366666666666667,0.01571348402636725,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,4.75,5.0,0,0,MAS,4.078125,0.03125,5.0,3.0,4.0,5.0,3.5,2.0,4.75,3.25,5.0,5.0,5.0,4.0,5.0,3.0,4.0,3.75
M032,5.0,5.0,3.8125,3.833333333333333,4.791666666666667,4.487500000000001,0.07939781071086925,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,MAS,4.203125,0.09375,5.0,3.0,4.0,5.0,3.5,3.25,5.0,3.25,5.0,5.0,5.0,4.0,5.0,3.25,4.0,4.0
M033,5.0,5.0,3.8125,3.833333333333333,4.791666666666667,4.487500000000001,0.07939781071086925,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,MAS,4.203125,0.09375,5.0,3.0,4.0,5.0,3.5,3.25,5.0,3.25,5.0,5.0,5.0,4.0,5.0,3.25,4.0,4.0
M034,5.0,5.0,3.8125,3.833333333333333,4.791666666666667,4.487500000000001,0.07939781071086925,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,MAS,4.203125,0.09375,5.0,3.0,4.0,5.0,3.5,3.25,5.0,3.25,5.0,5.0,5.0,4.0,5.0,3.25,4.0,4.0
M035,5.0,4.9375,4.25,4.25,4.791666666666667,4.645833333333333,0.0680980592896183,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,MAS,4.359375,0.07864410870073697,4.75,3.0,4.0,5.0,5.0,4.0,5.0,3.25,5.0,5.0,5.0,4.0,5.0,4.0,3.75,4.0
M036,5.0,4.9375,4.25,4.25,4.791666666666667,4.645833333333333,0.0680980592896183,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,MAS,4.359375,0.07864410870073697,4.75,3.0,4.0,5.0,5.0,4.0,5.0,3.25,5.0,5.0,5.0,4.0,5.0,4.0,3.75,4.0
M037,5.0,4.9375,4.25,4.25,4.791666666666667,4.645833333333333,0.0680980592896183,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,MAS,4.359375,0.07864410870073697,4.75,3.0,4.0,5.0,5.0,4.0,5.0,3.25,5.0,5.0,5.0,4.0,5.0,4.0,3.75,4.0
M038,5.0,5.0,3.333333333333333,3.75,4.736111111111111,4.363888888888889,0.016666666666666163,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,MAS,4.078125,0.03125,5.0,3.0,4.0,5.0,3.5,2.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,3.75,4.0
M039,5.0,5.0,3.333333333333333,3.75,4.736111111111111,4.363888888888889,0.016666666666666163,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,MAS,4.078125,0.03125,5.0,3.0,4.0,5.0,3.5,2.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,3.75,4.0
M040,5.0,5.0,3.333333333333333,3.75,4.736111111111111,4.363888888888889,0.016666666666666163,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,MAS,4.078125,0.03125,5.0,3.0,4.0,5.0,3.5,2.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,3.75,4.0
M041,5.0,4.6875,3.020833333333333,4.25,4.569444444444445,4.305555555555555,0.05931710140017424,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,4.75,5.0,5.0,5.0,0,0,MAS,3.953125,0.05983919423477113,3.75,3.0,3.75,5.0,5.0,2.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,3.75
M042,5.0,4.6875,3.020833333333333,4.25,4.569444444444445,4.305555555555555,0.05931710140017424,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,4.75,5.0,5.0,5.0,0,0,MAS,3.953125,0.05983919423477113,3.75,3.0,3.75,5.0,5.0,2.0,5.0,3.0,5.0,4.0,5.0,4.0,5.0,2.0,4.0,3.75
M043,5.0,4.75,2.833333333333333,3.0833333333333335,5.0,4.133333333333333,0.0235702260395515,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,MAS,3.828125,0.03125,4.0,3.0,3.75,5.0,1.5,2.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.25,4.0,3.75
M044,4.958333333333333,4.6875,2.8541666666666665,3.0,5.0,4.1,0.05773502691896263,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,4.75,5.0,0,1,MAS,3.796875,0.03125,3.75,3.0,3.75,5.0,1.5,2.25,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,3.75,3.75
M045,4.75,4.6875,2.645833333333333,4.333333333333333,4.777777777777778,4.238888888888889,0.033333333333333215,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,4.75,5.0,5.0,0,0,MAS,3.859375,0.05983919423477113,4.0,3.0,2.25,3.5,5.0,2.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,3.0,4.0,4.0
M046,5.0,4.4375,3.4791666666666665,4.333333333333333,4.444444444444445,4.338888888888889,0.0707106781186545,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,4.75,5.0,5.0,0,0,MAS,3.96875,0.0625,4.0,3.0,4.0,5.0,5.0,2.25,4.0,3.0,5.0,4.0,4.0,4.0,5.0,3.25,4.0,4.0
M047,5.0,4.6875,4.25,4.916666666666667,4.694444444444445,4.709722222222222,0.04166666666666652,4,4.928571428571429,0.08247860988423247,5.0,5.0,5.0,5.0,4.75,5.0,4.75,0,0,MAS,4.40625,0.03608439182435161,4.0,3.0,4.0,5.0,5.0,4.0,4.75,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.75,5.0
M048,5.0,4.75,4.3125,4.833333333333334,4.652777777777779,4.709722222222222,0.04166666666666652,4,4.928571428571429,0.08247860988423247,5.0,5.0,5.0,4.75,5.0,5.0,4.75,0,0,MAS,4.40625,0.0625,4.0,3.0,4.0,5.0,5.0,4.0,4.75,3.0,5.0,5.0,5.0,4.25,5.0,4.0,4.75,4.75
M049,5.0,4.75,2.895833333333333,2.9166666666666665,4.916666666666667,4.095833333333333,0.031549490810001406,4,4.928571428571429,0.1428571428571428,5.0,5.0,5.0,4.75,5.0,5.0,4.75,0,1,MAS,3.8125,0.0,4.0,3.0,4.0,5.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,3.25,5.0,2.0,4.0,3.75
M050,4.958333333333333,4.5,3.5416666666666665,4.25,4.777777777777778,4.405555555555556,0.04082482904638616,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,4.75,5.0,0,0,MAS,4.078125,0.03125,4.0,3.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,4.25,5.0,2.25,4.0,3.75
H001,5.0,4.6875,3.75,4.333333333333333,4.958333333333333,4.545833333333333,0.05159493228057401,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,Human,4.25,0.05103103630798288,3.75,3.0,3.75,5.0,5.0,3.25,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.25,4.0,4.0
H002,5.0,4.75,2.583333333333333,4.333333333333333,4.916666666666666,4.316666666666666,0.01924500897298746,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,Human,3.984375,0.03125,4.0,3.0,3.0,5.0,5.0,2.0,4.75,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0
H003,5.0,4.75,2.0,4.25,4.875,4.175,0.0419435246403932,4,4.928571428571429,0.08247860988423247,5.0,5.0,5.0,4.75,5.0,5.0,4.75,0,0,Human,3.84375,0.03608439182435161,4.0,3.0,3.0,5.0,5.0,1.0,4.75,4.0,5.0,5.0,5.0,3.0,5.0,1.0,3.75,4.0
H004,4.958333333333333,4.75,1.5625,4.166666666666666,4.916666666666667,4.070833333333333,0.08093779046851897,4,4.928571428571429,0.1428571428571428,5.0,5.0,5.0,4.75,5.0,4.75,5.0,0,0,Human,3.71875,0.0625,4.0,3.0,2.25,5.0,5.0,1.0,4.75,4.0,5.0,5.0,5.0,2.0,5.0,1.0,3.75,3.75
H005,5.0,4.75,2.0625,4.25,5.0,4.2125,0.008333333333333304,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,Human,3.875,0.0,4.0,3.0,3.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,1.25,4.0,3.75
H006,5.0,4.75,2.7291666666666665,4.25,5.0,4.345833333333333,0.024999999999999765,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,Human,4.015625,0.03125,4.0,3.0,3.0,5.0,5.0,2.25,5.0,4.0,5.0,5.0,5.0,3.25,5.0,2.0,4.0,3.75
H007,5.0,4.75,2.645833333333333,4.25,5.0,4.329166666666667,0.008333333333333304,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,Human,4.0,0.0,4.0,3.0,3.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,3.25,5.0,2.0,3.75,4.0
H008,5.0,4.75,2.145833333333333,4.166666666666666,5.0,4.2125,0.0906509381782259,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,Human,3.875,0.08838834764831845,4.0,3.0,3.0,5.0,4.5,1.25,5.0,4.0,5.0,5.0,5.0,3.25,5.0,1.0,4.0,4.0
H009,4.958333333333333,4.75,2.645833333333333,4.333333333333333,4.902777777777778,4.3180555555555555,0.06809805928961789,4,4.928571428571429,0.1428571428571428,5.0,5.0,5.0,5.0,5.0,4.75,4.75,0,0,Human,4.0,0.05103103630798288,4.0,3.0,3.0,5.0,5.0,2.0,5.0,3.75,5.0,5.0,5.0,3.0,5.0,2.25,4.0,4.0
H010,5.0,4.6875,3.020833333333333,4.166666666666666,4.861111111111111,4.347222222222221,0.11124991330278175,4,4.928571428571429,0.1428571428571428,5.0,5.0,5.0,4.75,5.0,5.0,4.75,0,0,Human,4.046875,0.1183105905375057,3.75,3.0,3.75,5.0,5.0,2.0,5.0,3.75,5.0,5.0,5.0,4.0,5.0,2.0,3.75,3.75
H011,5.0,4.75,2.583333333333333,4.166666666666666,4.902777777777778,4.280555555555555,0.06871842709362783,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,Human,3.953125,0.05983919423477113,4.0,3.0,3.0,5.0,5.0,2.0,5.0,3.75,5.0,5.0,5.0,3.0,5.0,2.0,3.75,3.75
H012,5.0,4.625,3.6666666666666665,4.25,4.958333333333333,4.5,0.04906533814626564,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,4.75,5.0,5.0,0,0,Human,4.203125,0.05983919423477113,3.75,3.0,3.75,5.0,5.0,3.0,4.75,4.0,5.0,5.0,5.0,4.0,5.0,3.25,4.0,3.75
H013,5.0,4.6875,2.6666666666666665,4.333333333333333,4.958333333333333,4.329166666666667,0.008333333333333304,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,4.75,5.0,5.0,0,0,Human,4.0,0.0,4.0,3.0,3.0,5.0,5.0,2.25,4.75,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0
H014,5.0,4.625,3.6666666666666665,4.25,4.958333333333333,4.5,0.0638284738504227,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,4.75,5.0,5.0,0,0,Human,4.203125,0.05983919423477113,3.75,3.0,4.0,5.0,5.0,3.0,4.75,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.75,4.0
H015,4.958333333333333,4.75,2.583333333333333,4.333333333333333,5.0,4.324999999999999,0.016666666666666607,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,4.75,5.0,0,0,Human,4.0,0.0,4.0,3.0,3.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0
H016,5.0,4.75,2.0625,4.25,4.958333333333333,4.204166666666667,0.06291528696058978,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,4.75,5.0,5.0,5.0,0,0,Human,3.875,0.05103103630798288,4.0,3.0,3.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,1.25,4.0,3.75
H017,5.0,4.75,2.0,4.166666666666666,4.916666666666666,4.166666666666666,0.0430331482911936,4,4.928571428571429,0.08247860988423247,5.0,5.0,5.0,4.75,5.0,5.0,4.75,0,0,Human,3.84375,0.03608439182435161,4.0,3.0,3.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,1.0,3.75,3.75
H018,5.0,4.75,3.75,4.166666666666666,4.958333333333333,4.525,0.031914236925211156,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,Human,4.234375,0.03125,4.0,3.0,4.0,5.0,5.0,3.25,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,3.75,3.75
H019,5.0,4.75,3.020833333333333,4.166666666666666,4.958333333333333,4.379166666666666,0.08753306253660383,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,Human,4.078125,0.09375,4.0,3.0,3.75,5.0,4.5,2.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,4.0
H020,5.0,4.75,2.208333333333333,4.166666666666666,5.0,4.225,0.08221471437193717,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,Human,3.890625,0.07864410870073697,4.0,3.0,3.0,5.0,4.5,1.25,5.0,4.0,5.0,5.0,5.0,3.25,5.0,1.25,4.0,4.0
H021,4.958333333333333,4.75,2.645833333333333,4.25,5.0,4.320833333333333,0.015957118462605578,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,4.75,5.0,0,0,Human,4.0,0.0,4.0,3.0,3.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,3.25,5.0,2.0,3.75,4.0
H022,5.0,4.75,2.645833333333333,4.25,4.958333333333333,4.320833333333333,0.06291528696058978,4,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,Human,3.984375,0.07864410870073697,4.0,3.0,3.0,5.0,5.0,2.0,4.75,4.0,5.0,5.0,5.0,3.25,5.0,2.0,4.0,3.75
H023,5.0,4.6875,3.145833333333333,4.25,4.916666666666667,4.3999999999999995,0.06666666666666643,4,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,4.75,5.0,5.0,5.0,0,0,Human,4.09375,0.0625,3.75,3.0,4.0,5.0,5.0,2.0,4.75,4.0,5.0,5.0,5.0,4.0,5.0,2.25,4.0,3.75
