endpoint,metric,source,item_seq,item_mean_score,scale_points
QGval,qg_total,MAS,46,35.0,35
QGval,qg_total,MAS,47,35.0,35
QGval,qg_total,MAS,48,35.0,35
QGval,qg_total,MAS,49,34.666666666666664,35
QGval,qg_total,MAS,50,34.666666666666664,35
QGval,qg_total,MAS,51,34.666666666666664,35
QGval,qg_total,MAS,52,34.666666666666664,35
QGval,qg_total,MAS,53,34.666666666666664,35
QGval,qg_total,MAS,54,35.0,35
QGval,qg_total,MAS,55,34.666666666666664,35
QGval,qg_total,MAS,56,35.0,35
QGval,qg_total,MAS,57,32.0,35
QGval,qg_total,MAS,58,34.333333333333336,35
QGval,qg_total,MAS,59,35.0,35
QGval,qg_total,MAS,60,34.333333333333336,35
QGval,qg_total,MAS,61,34.333333333333336,35
QGval,qg_total,MAS,62,34.333333333333336,35
QGval,qg_total,MAS,63,34.333333333333336,35
QGval,qg_total,MAS,64,34.333333333333336,35
QGval,qg_total,MAS,65,35.0,35
QGval,qg_total,MAS,66,35.0,35
QGval,qg_total,MAS,67,35.0,35
QGval,qg_total,MAS,68,35.0,35
QGval,qg_total,MAS,69,35.0,35
QGval,qg_total,MAS,70,35.0,35
ULM,ulm_total,Human,1,64.0,76
ULM,ulm_total,Human,2,59.0,76
ULM,ulm_total,Human,3,62.333333333333336,76
ULM,ulm_total,Human,4,62.666666666666664,76
ULM,ulm_total,Human,5,63.0,76
ULM,ulm_total,Human,6,58.333333333333336,76
ULM,ulm_total,Human,7,61.666666666666664,76
ULM,ulm_total,Human,8,62.333333333333336,76
ULM,ulm_total,Human,9,64.0,76
ULM,ulm_total,Human,10,64.0,76
ULM,ulm_total,Human,11,64.0,76
ULM,ulm_total,Human,12,63.666666666666664,76
ULM,ulm_total,Human,13,64.66666666666667,76
ULM,ulm_total,Human,14,64.33333333333333,76
ULM,ulm_total,Human,15,68.33333333333333,76
ULM,ulm_total,Human,16,64.66666666666667,76
ULM,ulm_total,Human,17,69.66666666666667,76
ULM,ulm_total,Human,18,64.66666666666667,76
ULM,ulm_total,Human,19,68.66666666666667,76
ULM,ulm_total,Human,20,63.666666666666664,76
ULM,ulm_total,Human,21,63.666666666666664,76
ULM,ulm_total,Human,22,67.33333333333333,76
ULM,ulm_total,Human,23,65.66666666666667,76
ULM,ulm_total,Human,24,69.0,76
ULM,ulm_total,Human,25,65.33333333333333,76
ULM,ulm_total,Human,26,68.0,76
ULM,ulm_total,Human,27,68.66666666666667,76
ULM,ulm_total,Human,28,69.33333333333333,76
ULM,ulm_total,Human,29,65.66666666666667,76
ULM,ulm_total,Human,30,68.33333333333333,76
ULM,ulm_total,Human,31,67.66666666666667,76
ULM,ulm_total,Human,32,68.33333333333333,76
ULM,ulm_total,Human,33,67.66666666666667,76
ULM,ulm_total,Human,34,68.0,76
ULM,ulm_total,Human,35,67.66666666666667,76
ULM,ulm_total,Human,36,68.66666666666667,76
ULM,ulm_total,Human,37,69.33333333333333,76
ULM,ulm_total,Human,38,69.33333333333333,76
ULM,ulm_total,Human,39,69.33333333333333,76
ULM,ulm_total,Human,40,66.66666666666667,76
ULM,ulm_total,Human,41,67.33333333333333,76
ULM,ulm_total,Human,42,67.66666666666667,76
ULM,ulm_total,Human,43,67.0,76
ULM,ulm_total,Human,44,67.66666666666667,76
ULM,ulm_total,Human,45,68.0,76
ULM,ulm_total,Human,46,66.0,76
ULM,ulm_total,Human,47,62.0,76
ULM,ulm_total,Human,48,64.66666666666667,76
ULM,ulm_total,Human,49,62.333333333333336,76
ULM,ulm_total,Human,50,65.66666666666667,76
ULM,ulm_total,Human,51,64.33333333333333,76
ULM,ulm_total,Human,52,62.333333333333336,76
ULM,ulm_total,Human,53,63.0,76
ULM,ulm_total,Human,54,65.0,76
ULM,ulm_total,Human,55,67.0,76
ULM,ulm_total,Human,56,65.33333333333333,76
ULM,ulm_total,Human,57,67.0,76
ULM,ulm_total,Human,58,66.33333333333333,76
ULM,ulm_total,Human,59,66.33333333333333,76
ULM,ulm_total,Human,60,66.0,76
ULM,ulm_total,Human,61,68.0,76
ULM,ulm_total,Human,62,68.0,76
ULM,ulm_total,Human,63,68.33333333333333,76
ULM,ulm_total,Human,64,67.66666666666667,76
ULM,ulm_total,Human,65,64.33333333333333,76
ULM,ulm_total,Human,66,64.33333333333333,76
ULM,ulm_total,Human,67,64.33333333333333,76
ULM,ulm_total,Human,68,64.66666666666667,76
ULM,ulm_total,Human,69,64.33333333333333,76
ULM,ulm_total,Human,70,66.0,76
ULM,ulm_total,MAS,1,65.0,76
ULM,ulm_total,MAS,2,61.333333333333336,76
ULM,ulm_total,MAS,3,66.0,76
ULM,ulm_total,MAS,4,64.33333333333333,76
ULM,ulm_total,MAS,5,62.333333333333336,76
ULM,ulm_total,MAS,6,64.66666666666667,76
ULM,ulm_total,MAS,7,64.33333333333333,76
ULM,ulm_total,MAS,8,68.33333333333333,76
ULM,ulm_total,MAS,9,68.66666666666667,76
ULM,ulm_total,MAS,10,70.66666666666667,76
ULM,ulm_total,MAS,11,69.66666666666667,76
ULM,ulm_total,MAS,12,70.33333333333333,76
ULM,ulm_total,MAS,13,69.0,76
ULM,ulm_total,MAS,14,70.0,76
ULM,ulm_total,MAS,15,68.0,76
ULM,ulm_total,MAS,16,69.33333333333333,76
ULM,ulm_total,MAS,17,68.66666666666667,76
ULM,ulm_total,MAS,18,65.33333333333333,76
ULM,ulm_total,MAS,19,65.66666666666667,76
ULM,ulm_total,MAS,20,68.66666666666667,76
ULM,ulm_total,MAS,21,64.0,76
ULM,ulm_total,MAS,22,64.66666666666667,76
ULM,ulm_total,MAS,23,66.0,76
ULM,ulm_total,MAS,24,70.0,76
ULM,ulm_total,MAS,25,66.0,76
ULM,ulm_total,MAS,26,69.0,76
ULM,ulm_total,MAS,27,69.0,76
ULM,ulm_total,MAS,28,66.0,76
ULM,ulm_total,MAS,29,67.66666666666667,76
ULM,ulm_total,MAS,30,68.33333333333333,76
ULM,ulm_total,MAS,31,69.33333333333333,76
ULM,ulm_total,MAS,32,69.33333333333333,76
ULM,ulm_total,MAS,33,68.66666666666667,76
ULM,ulm_total,MAS,34,69.66666666666667,76
ULM,ulm_total,MAS,35,69.66666666666667,76
ULM,ulm_total,MAS,36,69.33333333333333,76
ULM,ulm_total,MAS,37,66.0,76
ULM,ulm_total,MAS,38,66.0,76
ULM,ulm_total,MAS,39,66.0,76
ULM,ulm_total,MAS,40,68.33333333333333,76
ULM,ulm_total,MAS,41,68.33333333333333,76
ULM,ulm_total,MAS,42,66.66666666666667,76
ULM,ulm_total,MAS,43,63.333333333333336,76
ULM,ulm_total,MAS,44,65.0,76
ULM,ulm_total,MAS,45,64.33333333333333,76
ULM,ulm_total,MAS,46,65.66666666666667,76
ULM,ulm_total,MAS,47,70.33333333333333,76
ULM,ulm_total,MAS,48,70.33333333333333,76
ULM,ulm_total,MAS,49,63.666666666666664,76
ULM,ulm_total,MAS,50,66.33333333333333,76
ULM,ulm_total,MAS,51,62.666666666666664,76
ULM,ulm_total,MAS,52,63.0,76
ULM,ulm_total,MAS,53,63.0,76
ULM,ulm_total,MAS,54,64.66666666666667,76
ULM,ulm_total,MAS,55,62.333333333333336,76
ULM,ulm_total,MAS,56,65.33333333333333,76
ULM,ulm_total,MAS,57,65.66666666666667,76
ULM,ulm_total,MAS,58,67.33333333333333,76
ULM,ulm_total,MAS,59,65.66666666666667,76
ULM,ulm_total,MAS,60,66.66666666666667,76
ULM,ulm_total,MAS,61,65.33333333333333,76
ULM,ulm_total,MAS,62,65.33333333333333,76
ULM,ulm_total,MAS,63,66.0,76
ULM,ulm_total,MAS,64,66.0,76
ULM,ulm_total,MAS,65,67.33333333333333,76
ULM,ulm_total,MAS,66,67.33333333333333,76
ULM,ulm_total,MAS,67,67.0,76
ULM,ulm_total,MAS,68,64.0,76
ULM,ulm_total,MAS,69,64.33333333333333,76
ULM,ulm_total,MAS,70,65.0,76
