item_id,source_true,n_expert_ratings,expert_quality_score_5_mean,expert_quality_score_5_sd,expert_qgeval_score_5_mean,expert_ulm_score_5_mean,mean_match_score
H028,Human,3,4.677536231884058,0.12120093249041813,4.9523809523809526,4.557291666666667,0.4216216216216216
H029,Human,3,4.398550724637681,0.25102185616940254,4.571428571428572,4.322916666666667,0.45685279187817257
H030,Human,3,4.644927536231884,0.16352585646951828,5.0,4.489583333333333,0.4397905759162304
H031,Human,3,4.61231884057971,0.11520371808394686,5.0,4.442708333333333,0.5024630541871922
H032,Human,3,4.644927536231884,0.16352585646951828,5.0,4.489583333333333,0.4766839378238341
H033,Human,3,4.61231884057971,0.1914813081409245,5.0,4.442708333333333,0.4431137724550898
H034,Human,3,4.6268115942028984,0.19024326946123285,5.0,4.463541666666667,0.602510460251046
H035,Human,3,4.61231884057971,0.11520371808394686,5.0,4.442708333333333,0.4705882352941176
H036,Human,3,4.659420289855072,0.050204371233880725,5.0,4.510416666666667,0.5909090909090909
H037,Human,3,4.688405797101449,0.02510218561694049,5.0,4.552083333333333,0.4953271028037383
H038,Human,3,4.692028985507246,0.10668428887199616,5.0,4.557291666666667,0.6705882352941176
H039,Human,3,4.692028985507246,0.10668428887199616,5.0,4.557291666666667,0.618421052631579
H040,Human,3,4.528985507246377,0.16316420651011157,4.904761904761904,4.364583333333333,0.5432098765432098
H041,Human,3,4.590579710144928,0.19454193853128654,5.0,4.411458333333333,0.6105263157894737
H042,Human,3,4.608695652173913,0.18090561931623048,5.0,4.4375,0.5647058823529412
H043,Human,3,4.5144927536231885,0.21253636776902116,5.0,4.302083333333333,0.9711538461538461
H044,Human,3,4.579710144927536,0.12120093249041866,5.0,4.395833333333333,0.9716981132075472
H045,Human,3,4.61231884057971,0.21336857774399232,5.0,4.442708333333333,0.981549815498155
H046,Human,3,4.630434782608695,0.1673348295471809,5.0,4.46875,0.970873786407767
H047,Human,3,4.547101449275362,0.12967775484183544,5.0,4.348958333333333,0.9514563106796116
H048,Human,3,4.344202898550725,0.10995645583690944,4.9523809523809526,4.078125,1.0
H049,Human,3,4.481884057971015,0.20747301887275948,5.0,4.255208333333333,0.9636363636363635
H050,Human,3,4.351449275362319,0.006275546404235283,4.9523809523809526,4.088541666666667,0.9770114942528737
M001,MAS,3,4.4855072463768115,0.20199072267777327,5.0,4.260416666666667,0.9937106918238993
M002,MAS,3,4.326086956521739,0.3388795058286937,5.0,4.03125,1.0
M003,MAS,3,4.648550724637681,0.1459654860759686,5.0,4.494791666666667,0.9830508474576272
M004,MAS,3,4.634057971014493,0.04392882482964484,4.904761904761905,4.515625,0.9980732177263968
M005,MAS,3,4.75,0.09661080888386522,5.0,4.640625,0.9964912280701754
M006,MAS,3,4.5398550724637685,0.276978476139368,5.0,4.338541666666667,0.9923664122137404
M007,MAS,3,4.456521739130435,0.23514464839982518,5.0,4.21875,0.9917355371900828
M008,MAS,3,4.706521739130435,0.09661080888386514,5.0,4.578125,1.0
M009,MAS,3,4.7355072463768115,0.07237313172260186,5.0,4.619791666666667,1.0
M010,MAS,3,4.63768115942029,0.07863237106598106,4.857142857142857,4.541666666666667,0.9968253968253968
M011,MAS,3,4.728260869565218,0.07530655685082063,5.0,4.609375,0.9956709956709956
M012,MAS,3,4.615942028985508,0.09050721736809274,4.9523809523809526,4.46875,0.9968051118210862
M013,MAS,3,4.684782608695652,0.11295983527623087,5.0,4.546875,0.9954337899543378
M014,MAS,3,4.605072463768116,0.03137773202117494,4.809523809523809,4.515625,0.996742671009772
M015,MAS,3,4.496376811594203,0.27697847613936794,4.9523809523809526,4.296875,0.9969969969969968
M016,MAS,3,4.510869565217392,0.2635729489778724,4.9523809523809526,4.317708333333333,0.996078431372549
M017,MAS,3,4.369565217391305,0.3020096519445611,5.0,4.09375,0.9941520467836256
M018,MAS,3,4.452898550724638,0.31377732021175325,5.0,4.213541666666667,0.9950248756218906
M019,MAS,3,4.478260869565218,0.2070930313397571,5.0,4.25,0.9964664310954064
M020,MAS,3,4.543478260869565,0.1506131137016416,5.0,4.34375,0.9969040247678018
M021,MAS,3,4.728260869565218,0.07530655685082063,5.0,4.609375,0.9973614775725593
M022,MAS,3,4.547101449275362,0.23219521695669754,5.0,4.348958333333333,0.9971671388101985
M023,MAS,3,4.478260869565218,0.2070930313397571,5.0,4.25,0.992
M024,MAS,3,4.438405797101449,0.2465099810604936,4.9523809523809526,4.213541666666667,0.9894736842105264
M025,MAS,3,4.66304347826087,0.13178647448893607,5.0,4.515625,0.9967637540453076
M026,MAS,6,4.675724637681159,0.11029618713849745,5.0,4.533854166666667,0.8383874676631216
M028,MAS,3,4.532608695652175,0.04981060537995454,5.0,4.328125,0.7320754716981132
M029,MAS,3,4.547101449275362,0.14995798613460068,4.809523809523809,4.432291666666667,0.985645933014354
M031,MAS,3,4.608695652173913,0.18090561931623067,4.904761904761904,4.479166666666667,0.6426735218508998
M032,MAS,9,4.647342995169082,0.1062372964593891,4.888888888888889,4.541666666666667,0.8132049856418642
M035,MAS,6,4.7101449275362315,0.08494039572227581,5.0,4.583333333333333,0.8572839506172839
M037,MAS,3,4.66304347826087,0.13178647448893607,4.904761904761904,4.557291666666667,0.6787878787878788
M038,MAS,6,4.507246376811595,0.16277756092755796,4.904761904761904,4.333333333333333,0.8579799956512285
M040,MAS,3,4.507246376811595,0.1819908457228168,4.904761904761904,4.333333333333333,0.6557377049180327
M041,MAS,6,4.592391304347826,0.1544473041339774,4.976190476190476,4.424479166666667,0.8665254237288136
M042,MAS,3,4.63768115942029,0.15613377845228432,5.0,4.479166666666667,0.985645933014354
M043,MAS,3,4.409420289855072,0.26720860967380144,4.9523809523809526,4.171875,0.9464285714285715
M044,MAS,3,4.5,0.2756243985457821,5.0,4.28125,0.9736842105263158
M045,MAS,3,4.463768115942028,0.22071731029736294,5.0,4.229166666666667,0.977491961414791
M046,MAS,3,4.525362318840579,0.16850747759758677,5.0,4.317708333333333,0.9736842105263158
M047,MAS,3,4.739130434782608,0.02875816642461516,5.0,4.625,0.9814126394052044
M048,MAS,3,4.7355072463768115,0.031377732021175324,5.0,4.619791666666667,0.982078853046595
M049,MAS,3,4.423913043478261,0.35271697259973817,4.9523809523809526,4.192708333333333,0.9802631578947368
M050,MAS,3,4.5398550724637685,0.16134379766820522,4.9523809523809526,4.359375,0.9642857142857144
