item_type,stage,model,input_tokens_estimated,output_tokens_estimated,input_price_usd_per_million,output_price_usd_per_million,input_cost_usd,output_cost_usd,pricing_source,pricing_checked_date,token_method
A1,Generation,deepseek-v4-pro,4448.415118110757,471.89999999999947,0.435,0.87,0.0019350605763781793,0.00041055299999999954,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A3,Answer explanation,deepseek-v4-pro,1929.7080000001604,1747.799999999994,0.435,0.87,0.0008394229800000697,0.0015205859999999948,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A3,Test-point restoration,deepseek-v4-flash,1172.2979999999995,57.59999999999998,0.14,0.28,0.00016412171999999995,1.6127999999999995e-05,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A3,QGval ×4,deepseek-v4-pro,16146.000000000095,167.99999999999994,0.435,0.87,0.007023510000000041,0.00014615999999999994,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A3,ULM ×4,deepseek-v4-pro,20447.999999999614,319.20000000000016,0.435,0.87,0.008894879999999833,0.00027770400000000015,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A4,Generation,deepseek-v4-pro,4695.893443708786,1593.3000000000043,0.435,0.87,0.002042713648013322,0.0013861710000000037,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A4,Answer explanation,deepseek-v4-pro,3292.9700000004495,2309.100000000013,0.435,0.87,0.0014324419500001955,0.0020089170000000115,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A4,Test-point restoration,deepseek-v4-flash,1733.0300000000066,57.89999999999999,0.14,0.28,0.00024262420000000092,1.6212e-05,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A4,QGval ×4,deepseek-v4-pro,20469.600000000224,167.99999999999994,0.435,0.87,0.008904276000000096,0.00014615999999999994,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
A4,ULM ×4,deepseek-v4-pro,24771.599999999744,319.20000000000016,0.435,0.87,0.010775645999999889,0.00027770400000000015,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
B,Generation,deepseek-v4-pro,1277.16888597639,267.8999999999992,0.435,0.87,0.0005555684653997296,0.0002330729999999993,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
B,Answer explanation,deepseek-v4-pro,631.0799999999865,972.3000000000052,0.435,0.87,0.0002745197999999942,0.0008459010000000045,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
B,Test-point restoration,deepseek-v4-flash,327.26999999999964,24.299999999999994,0.14,0.28,4.581779999999995e-05,6.803999999999999e-06,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
B,QGval ×4,deepseek-v4-pro,9782.40000000002,71.99999999999997,0.435,0.87,0.004255344000000008,6.263999999999998e-05,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
B,ULM ×4,deepseek-v4-pro,14084.39999999954,136.80000000000007,0.435,0.87,0.0061267139999998,0.00011901600000000007,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
X,Generation,deepseek-v4-pro,2658.600780234074,656.3999999999983,0.435,0.87,0.0011564913394018221,0.0005710679999999985,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
X,Answer explanation,deepseek-v4-pro,702.3119999999988,896.3999999999969,0.435,0.87,0.0003055057199999995,0.0007798679999999974,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
X,Test-point restoration,deepseek-v4-flash,733.9559999999988,66.29999999999998,0.14,0.28,0.00010275383999999983,1.8563999999999997e-05,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
X,QGval ×4,deepseek-v4-pro,11080.79999999993,191.99999999999994,0.435,0.87,0.0048201479999999694,0.00016703999999999995,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
X,ULM ×4,deepseek-v4-pro,15382.799999999448,364.8000000000002,0.435,0.87,0.00669151799999976,0.0003173760000000002,https://api-docs.deepseek.com/quick_start/pricing,2026-06-22,Official DeepSeek approximation: Chinese character≈0.6 token; other non-space character≈0.3 token; cache-miss pricing.
