item_id,source_true,n_responses,difficulty,discrimination,item_type,blueprint_cognitive_level,item_type_group,cognitive_level,cognitive_level_label
M010,MAS,50,0.4,0.3042756870618903,A2,application,A2/A3/A4,application,Application
M011,MAS,50,0.38,0.2181604823078767,A2,application,A2/A3/A4,application,Application
M012,MAS,50,0.56,0.2998051143092058,A2,application,A2/A3/A4,application,Application
M013,MAS,50,0.54,0.0781016739098315,A2,application,A2/A3/A4,application,Application
M014,MAS,50,0.42,0.3843643625521595,A2,application,A2/A3/A4,application,Application
M015,MAS,50,0.64,0.2430283940979624,A2,application,A2/A3/A4,application,Application
M016,MAS,50,0.94,0.1661381192880241,A2,application,A2/A3/A4,application,Application
M017,MAS,50,0.96,0.180496200525768,A1,recall,A1/B,recall,Knowledge
M018,MAS,50,0.46,0.337299406938518,A2,application,A2/A3/A4,application,Application
M019,MAS,50,0.92,0.3565716614346303,A2,application,A2/A3/A4,application,Application
M020,MAS,50,0.9,0.4215930320460285,A2,application,A2/A3/A4,application,Application
M021,MAS,50,0.68,0.3472682319666513,A2,application,A2/A3/A4,application,Application
M022,MAS,50,0.92,-0.0202527102471345,A2,application,A2/A3/A4,application,Application
M023,MAS,50,0.44,0.4455260955381595,A1,recall,A1/B,recall,Knowledge
M024,MAS,50,0.52,0.1600368181850925,A1,recall,A1/B,recall,Knowledge
M025,MAS,50,0.48,0.3153606019237066,A2,application,A2/A3/A4,application,Application
M026,MAS,50,0.44,0.0113569979169887,A3/A4,analysis,A2/A3/A4,analysis,Analysis
M027,MAS,50,0.72,0.4208447087149702,A3/A4,analysis,A2/A3/A4,analysis,Analysis
M028,MAS,50,0.56,0.077667269033344,A3/A4,analysis,A2/A3/A4,analysis,Analysis
M029,MAS,50,0.26,0.0596612464801812,A3/A4,analysis,A2/A3/A4,analysis,Analysis
M030,MAS,50,0.26,0.3829914753140054,A3/A4,analysis,A2/A3/A4,analysis,Analysis
M031,MAS,50,0.76,0.2513355975859116,A3/A4,analysis,A2/A3/A4,analysis,Analysis
M032,MAS,50,0.82,0.2552967153003079,A3/A4,analysis,A2/A3/A4,analysis,Analysis
M033,MAS,50,0.74,0.3151459412248408,A3/A4,analysis,A2/A3/A4,analysis,Analysis
M034,MAS,50,0.86,-0.0306064098615969,A3/A4,analysis,A2/A3/A4,analysis,Analysis
M035,MAS,50,0.38,0.3430992864348215,A3/A4,analysis,A2/A3/A4,analysis,Analysis
M036,MAS,50,0.74,0.3882815724919665,A3/A4,analysis,A2/A3/A4,analysis,Analysis
M037,MAS,50,0.78,0.2997914473505345,A3/A4,analysis,A2/A3/A4,analysis,Analysis
M038,MAS,50,0.68,0.2718282783187749,A3/A4,analysis,A2/A3/A4,analysis,Analysis
M039,MAS,50,0.94,0.3496040882323545,A3/A4,analysis,A2/A3/A4,analysis,Analysis
M040,MAS,50,0.44,0.0984177787197215,B,comprehension,A1/B,comprehension,Comprehension
M041,MAS,50,0.76,0.4843569608211112,B,comprehension,A1/B,comprehension,Comprehension
M042,MAS,50,0.54,0.2036205946998004,B,comprehension,A1/B,comprehension,Comprehension
M043,MAS,50,0.02,-0.264555579884671,X,analysis,X,analysis,Analysis
M044,MAS,50,0.16,0.3271681175727526,X,analysis,X,analysis,Analysis
M045,MAS,50,0.62,0.1298880460256727,X,analysis,X,analysis,Analysis
M046,MAS,50,0.04,0.0099765359682453,X,analysis,X,analysis,Analysis
M047,MAS,50,0.28,0.29795825630001,X,analysis,X,analysis,Analysis
M048,MAS,50,0.64,0.3832692869277602,X,analysis,X,analysis,Analysis
M049,MAS,50,0.42,0.5441225072948255,X,analysis,X,analysis,Analysis
M050,MAS,50,0.38,0.4299562851735258,X,analysis,X,analysis,Analysis
