item_id,n_responses,difficulty,upper_27_correct_rate,lower_27_correct_rate,discrimination_upper_minus_lower,upper_group_n,lower_group_n,source_true,blueprint_cognitive_level,item_type,item_type_group
H022,50,0.74,0.8571428571428571,0.5,0.3571428571428571,14,14,Human,application,A2,A2/A3/A4
H023,50,0.82,1.0,0.5,0.5,14,14,Human,application,A2,A2/A3/A4
H024,50,0.5,0.6428571428571429,0.2857142857142857,0.3571428571428572,14,14,Human,application,A2,A2/A3/A4
H025,50,0.54,0.7857142857142857,0.5714285714285714,0.2142857142857143,14,14,Human,application,A2,A2/A3/A4
H026,50,0.86,1.0,0.6428571428571429,0.3571428571428571,14,14,Human,analysis,A3/A4,A3/A4
H027,50,0.46,0.9285714285714286,0.2857142857142857,0.6428571428571429,14,14,Human,analysis,A3/A4,A3/A4
H028,50,0.4,0.5,0.2857142857142857,0.2142857142857143,14,14,Human,analysis,A3/A4,A3/A4
H029,50,0.28,0.35714285714285715,0.14285714285714285,0.2142857142857143,14,14,Human,analysis,A3/A4,A3/A4
H030,50,0.22,0.2857142857142857,0.14285714285714285,0.14285714285714285,14,14,Human,analysis,A3/A4,A3/A4
H031,50,0.72,1.0,0.6428571428571429,0.3571428571428571,14,14,Human,analysis,A3/A4,A3/A4
H032,50,0.92,1.0,0.7142857142857143,0.2857142857142857,14,14,Human,analysis,A3/A4,A3/A4
H033,50,0.86,1.0,0.6428571428571429,0.3571428571428571,14,14,Human,analysis,A3/A4,A3/A4
H034,50,0.42,0.7142857142857143,0.21428571428571427,0.5,14,14,Human,analysis,A3/A4,A3/A4
H035,50,0.66,0.8571428571428571,0.35714285714285715,0.49999999999999994,14,14,Human,analysis,A3/A4,A3/A4
H036,50,0.76,0.9285714285714286,0.6428571428571429,0.2857142857142857,14,14,Human,analysis,A3/A4,A3/A4
H037,50,0.84,0.8571428571428571,0.6428571428571429,0.2142857142857142,14,14,Human,analysis,A3/A4,A3/A4
H038,50,0.86,1.0,0.6428571428571429,0.3571428571428571,14,14,Human,analysis,A3/A4,A3/A4
H039,50,0.88,0.9285714285714286,0.7142857142857143,0.2142857142857143,14,14,Human,analysis,A3/A4,A3/A4
H040,50,0.62,0.5,0.5,0.0,14,14,Human,comprehension,B,A1/B
H041,50,0.7,0.9285714285714286,0.2857142857142857,0.6428571428571429,14,14,Human,comprehension,B,A1/B
H042,50,0.74,0.8571428571428571,0.42857142857142855,0.42857142857142855,14,14,Human,comprehension,B,A1/B
H043,50,0.6,0.6428571428571429,0.2857142857142857,0.3571428571428572,14,14,Human,analysis,X,X
H044,50,0.1,0.0,0.21428571428571427,-0.21428571428571427,14,14,Human,analysis,X,X
H045,50,0.12,0.2857142857142857,0.07142857142857142,0.21428571428571427,14,14,Human,analysis,X,X
H046,50,0.14,0.2857142857142857,0.07142857142857142,0.21428571428571427,14,14,Human,analysis,X,X
H047,50,0.48,0.6428571428571429,0.42857142857142855,0.21428571428571436,14,14,Human,analysis,X,X
H048,50,0.68,0.7857142857142857,0.7142857142857143,0.0714285714285714,14,14,Human,analysis,X,X
H049,50,0.3,0.2857142857142857,0.14285714285714285,0.14285714285714285,14,14,Human,analysis,X,X
H050,50,0.08,0.21428571428571427,0.0,0.21428571428571427,14,14,Human,analysis,X,X
M001,50,0.62,0.8571428571428571,0.42857142857142855,0.42857142857142855,14,14,MAS,recall,A1,A1/B
M002,50,0.94,1.0,1.0,0.0,14,14,MAS,recall,A1,A1/B
M003,50,0.88,1.0,0.7142857142857143,0.2857142857142857,14,14,MAS,application,A2,A2/A3/A4
M004,50,0.58,0.8571428571428571,0.2857142857142857,0.5714285714285714,14,14,MAS,application,A2,A2/A3/A4
M005,50,0.96,0.9285714285714286,0.9285714285714286,0.0,14,14,MAS,application,A2,A2/A3/A4
M006,50,0.56,0.5714285714285714,0.5714285714285714,0.0,14,14,MAS,recall,A1,A1/B
M007,50,0.92,1.0,0.8571428571428571,0.1428571428571429,14,14,MAS,recall,A1,A1/B
M008,50,0.84,1.0,0.8571428571428571,0.1428571428571429,14,14,MAS,application,A2,A2/A3/A4
M009,50,0.52,1.0,0.2857142857142857,0.7142857142857143,14,14,MAS,application,A2,A2/A3/A4
M010,50,0.4,0.6428571428571429,0.2857142857142857,0.3571428571428572,14,14,MAS,application,A2,A2/A3/A4
M011,50,0.38,0.5714285714285714,0.35714285714285715,0.21428571428571425,14,14,MAS,application,A2,A2/A3/A4
M012,50,0.56,0.7857142857142857,0.35714285714285715,0.42857142857142855,14,14,MAS,application,A2,A2/A3/A4
M013,50,0.54,0.6428571428571429,0.42857142857142855,0.21428571428571436,14,14,MAS,application,A2,A2/A3/A4
M014,50,0.42,0.7142857142857143,0.14285714285714285,0.5714285714285714,14,14,MAS,application,A2,A2/A3/A4
M015,50,0.64,0.9285714285714286,0.5,0.4285714285714286,14,14,MAS,application,A2,A2/A3/A4
M016,50,0.94,1.0,0.8571428571428571,0.1428571428571429,14,14,MAS,application,A2,A2/A3/A4
M017,50,0.96,1.0,0.8571428571428571,0.1428571428571429,14,14,MAS,recall,A1,A1/B
M018,50,0.46,0.8571428571428571,0.35714285714285715,0.49999999999999994,14,14,MAS,application,A2,A2/A3/A4
M019,50,0.92,1.0,0.7142857142857143,0.2857142857142857,14,14,MAS,application,A2,A2/A3/A4
M020,50,0.9,1.0,0.6428571428571429,0.3571428571428571,14,14,MAS,application,A2,A2/A3/A4
M021,50,0.68,0.8571428571428571,0.5,0.3571428571428571,14,14,MAS,application,A2,A2/A3/A4
M022,50,0.92,0.9285714285714286,1.0,-0.0714285714285714,14,14,MAS,application,A2,A2/A3/A4
M023,50,0.44,0.7142857142857143,0.21428571428571427,0.5,14,14,MAS,recall,A1,A1/B
M024,50,0.52,0.7142857142857143,0.5,0.2142857142857143,14,14,MAS,recall,A1,A1/B
M025,50,0.48,0.7857142857142857,0.42857142857142855,0.35714285714285715,14,14,MAS,application,A2,A2/A3/A4
M026,50,0.44,0.5,0.35714285714285715,0.14285714285714285,14,14,MAS,analysis,A3/A4,A3/A4
M027,50,0.72,0.9285714285714286,0.42857142857142855,0.5,14,14,MAS,analysis,A3/A4,A3/A4
M028,50,0.56,0.7857142857142857,0.5714285714285714,0.2142857142857143,14,14,MAS,analysis,A3/A4,A3/A4
M029,50,0.26,0.42857142857142855,0.2857142857142857,0.14285714285714285,14,14,MAS,analysis,A3/A4,A3/A4
M030,50,0.26,0.42857142857142855,0.07142857142857142,0.3571428571428571,14,14,MAS,analysis,A3/A4,A3/A4
M031,50,0.76,0.8571428571428571,0.6428571428571429,0.2142857142857142,14,14,MAS,analysis,A3/A4,A3/A4
M032,50,0.82,0.9285714285714286,0.5714285714285714,0.3571428571428572,14,14,MAS,analysis,A3/A4,A3/A4
M033,50,0.74,0.9285714285714286,0.5714285714285714,0.3571428571428572,14,14,MAS,analysis,A3/A4,A3/A4
M034,50,0.86,0.7857142857142857,0.7142857142857143,0.0714285714285714,14,14,MAS,analysis,A3/A4,A3/A4
M035,50,0.38,0.7142857142857143,0.2857142857142857,0.4285714285714286,14,14,MAS,analysis,A3/A4,A3/A4
M036,50,0.74,0.9285714285714286,0.5714285714285714,0.3571428571428572,14,14,MAS,analysis,A3/A4,A3/A4
M037,50,0.78,0.9285714285714286,0.6428571428571429,0.2857142857142857,14,14,MAS,analysis,A3/A4,A3/A4
M038,50,0.68,0.8571428571428571,0.35714285714285715,0.49999999999999994,14,14,MAS,analysis,A3/A4,A3/A4
M039,50,0.94,1.0,0.7857142857142857,0.2142857142857143,14,14,MAS,analysis,A3/A4,A3/A4
M040,50,0.44,0.5714285714285714,0.35714285714285715,0.21428571428571425,14,14,MAS,comprehension,B,A1/B
M041,50,0.76,1.0,0.42857142857142855,0.5714285714285714,14,14,MAS,comprehension,B,A1/B
M042,50,0.54,0.5,0.42857142857142855,0.07142857142857145,14,14,MAS,comprehension,B,A1/B
M043,50,0.02,0.0,0.07142857142857142,-0.07142857142857142,14,14,MAS,analysis,X,X
M044,50,0.16,0.35714285714285715,0.07142857142857142,0.2857142857142857,14,14,MAS,analysis,X,X
M045,50,0.62,0.7857142857142857,0.42857142857142855,0.35714285714285715,14,14,MAS,analysis,X,X
M046,50,0.04,0.07142857142857142,0.0,0.07142857142857142,14,14,MAS,analysis,X,X
M047,50,0.28,0.5,0.21428571428571427,0.2857142857142857,14,14,MAS,analysis,X,X
M048,50,0.64,0.8571428571428571,0.42857142857142855,0.42857142857142855,14,14,MAS,analysis,X,X
M049,50,0.42,0.9285714285714286,0.14285714285714285,0.7857142857142858,14,14,MAS,analysis,X,X
M050,50,0.38,0.7142857142857143,0.14285714285714285,0.5714285714285714,14,14,MAS,analysis,X,X
