题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,ULM总分
,,5,5,5,5,5,5,5,35,5,5,4,5,3.66666666666667,5,5,5,5,5,5,4,2.66666666666667,4,3,5,71.3333333333333
,,,,,,,,,,,,,,,,,,,,,,,,,,
X,2,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,3,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,5,3,4,3,5,73
,4,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72
,5,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,4,2,4,3,5,5,70
,6,5,5,5,5,5,5,4,34,5,4,4,5,3,5,4,5,5,5,4,3,2,3,3,4,64
,7,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,8,5,5,5,5,5,5,4,34,5,4,3,5,3,5,4,5,5,5,4,3,2,3,3,4,63
,12,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,20,5,5,5,5,5,5,4,34,5,5,3,5,3,4,4,5,5,5,4,5,2,3,3,5,66
,21,5,5,5,5,5,5,4,34,5,5,3,5,3,4,4,5,5,5,4,5,2,3,3,5,66
,22,5,5,5,5,5,5,4,34,5,5,3,5,3,4,4,5,5,5,4,5,2,3,3,5,66
,,5,5,5,5,5,5,4.75,34.75,5,4.75,3.875,5,3.25,5,4.75,5,5,5,4.625,3.625,2.5,3.625,3.25,4.75,69
