P卷,,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,ULM总分,该题是否为AI题
,46,4,4,5,4,5,5,5,32,4,5,4,4,3,4,3,5,5,5,5,4,3,3,3,5,65,是
,47,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
,48,4,4,4,5,5,5,5,32,4,5,4,5,3,4,3,5,5,5,5,4,3,3,3,5,66,是
,49,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
,50,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
A3-4,33,5,5,4,5,5,5,5,34,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
,34,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
,35,5,5,4,5,5,5,5,34,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
,36,5,5,4,5,5,5,5,34,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
B,10,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,5,66,否
,11,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,5,66,否
,12,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,5,66,否
X,20,5,5,5,5,5,5,4,34,5,5,3,5,3,4,4,5,5,5,4,5,2,3,3,5,66,否
,21,5,5,5,5,5,5,4,34,5,5,3,5,3,4,4,5,5,5,4,5,2,3,3,5,66,否
,22,5,5,5,5,5,5,4,34,5,5,3,5,3,4,4,5,5,5,4,5,2,3,3,5,66,否
,平均分,4.9,4.88571428571429,4.82857142857143,4.98571428571429,5,5,4.92857142857143,34.5285714285714,4.9,4.88571428571429,3.9,4.98571428571429,3.2,4.68571428571429,4.6,5,5,5,4.9,3.98571428571429,2.47142857142857,3.65714285714286,3.02857142857143,4.91428571428571,69.1142857142857,正确率：64/70
,方差,0.346828278939973,0.435485973512689,0.509942553497445,0.119522860933439,0,0,0.259398891052157,1.18836666097252,0.346828278939973,0.435485973512689,0.302166093111201,0.119522860933439,0.627855794391295,0.467582656193181,0.574834569775249,0,0,0,0.302166093111201,0.4338188075268,0.582882108830792,0.507500675682117,0.239045721866879,0.329376096334325,2.74808421881608,A1:9/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,A2:22/25
,,,,,,,,,,,,,,,,,,,,,,,,,,,A3-4:17/18
,,,,,,,,,,,,,,,,,,,,,,,,,,,B:6/6
,,,,,,,,,,,,,,,,,,,,,,,,,,,X:10/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
